pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
AVPickup---AVDropoff	675	398	229	146	100	63	49	27	22	16	9	6	26
AVStay---AVPickup	625	406	300	145	110	65	47	27	16	6	5	1	13
education_1---education_2	22	0	0	0	0	0	0	0	0	0	0	1	1
education_1---escort_kids_2	0	0	0	1	1	0	0	0	0	0	0	0	0
education_1---escort_other_1	1	3	2	0	0	1	0	0	0	0	0	0	0
education_1---escort_other_2	2	0	0	0	0	0	0	0	0	0	0	0	0
education_1---home_1	59	64	47	37	18	29	22	18	21	15	14	20	30
education_1---home_2	207	205	113	75	56	44	51	36	32	19	26	16	72
education_1---home_3	3	2	1	0	2	0	1	1	0	0	0	0	0
education_1---leisure_1	66	39	16	13	9	3	7	9	3	3	3	5	16
education_1---leisure_2	0	3	0	0	1	0	1	0	0	0	0	1	1
education_1---leisure_3	0	1	1	0	0	0	0	0	0	0	0	0	0
education_1---remote_home_1	5	4	2	1	0	0	0	0	0	0	0	0	1
education_1---remote_work_1	0	0	0	0	0	1	0	0	0	0	0	0	0
education_1---shop_1	34	17	8	5	8	5	6	6	5	0	3	0	7
education_1---shop_2	0	0	0	2	0	0	0	1	0	0	0	0	1
education_1---work_1	0	1	0	0	1	1	0	0	1	2	0	0	1
education_1---work_2	1	0	3	0	0	1	1	0	1	1	0	0	1
education_2---education_3	16	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_1	0	0	1	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_other_1	0	3	1	0	0	0	0	0	1	1	0	0	0
education_2---escort_other_2	0	0	0	0	0	0	0	0	0	1	0	0	0
education_2---home_1	84	78	32	41	29	23	13	15	11	10	11	10	30
education_2---home_2	6	5	3	4	4	3	2	2	3	2	1	4	2
education_2---home_3	55	38	25	18	12	5	12	15	3	2	1	2	15
education_2---home_4	0	0	0	0	0	0	0	0	0	0	0	0	1
education_2---leisure_1	21	18	7	5	4	1	7	2	2	2	0	0	3
education_2---leisure_2	5	4	2	1	2	1	0	0	4	0	2	1	1
education_2---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
education_2---remote_home_1	0	1	0	0	1	0	0	0	0	0	1	0	0
education_2---remote_home_2	1	0	2	0	0	0	0	0	0	0	0	0	0
education_2---remote_work_1	1	1	0	0	0	0	0	0	0	0	0	0	0
education_2---shop_1	7	5	2	1	0	2	1	0	0	0	0	0	1
education_2---shop_2	3	1	0	0	0	0	0	0	1	0	0	1	0
education_2---work_1	0	0	0	0	0	0	0	2	0	0	0	0	2
education_2---work_2	0	0	0	1	0	0	0	0	0	0	0	0	0
education_3---education_4	2	0	0	0	0	0	0	0	0	0	0	0	0
education_3---escort_kids_1	1	0	0	0	0	0	0	0	0	0	0	0	0
education_3---home_1	10	6	4	1	1	2	0	2	0	0	0	0	1
education_3---home_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_3---home_3	1	1	0	1	0	1	0	0	0	0	0	0	0
education_3---leisure_1	0	0	0	1	1	0	0	0	0	1	1	0	0
education_3---remote_home_2	0	0	0	0	0	0	0	1	0	0	0	0	0
education_4---home_2	0	0	0	0	0	0	0	2	0	0	0	0	0
escort_kids_1---education_1	0	1	0	2	0	0	0	0	1	0	0	0	0
escort_kids_1---education_2	0	1	0	0	0	0	1	0	0	0	0	0	0
escort_kids_1---escort_kids_2	2	2	1	1	0	1	1	0	0	0	1	0	1
escort_kids_1---escort_other_1	7	5	1	2	0	0	0	0	0	0	0	0	0
escort_kids_1---escort_other_2	1	1	0	0	0	0	0	0	0	0	0	0	1
escort_kids_1---home_1	39	26	8	5	2	0	3	6	2	2	1	2	5
escort_kids_1---home_2	47	27	9	2	4	1	2	0	0	2	1	0	3
escort_kids_1---home_3	13	5	5	1	2	1	0	0	1	2	1	0	1
escort_kids_1---home_4	0	0	1	1	0	0	0	0	0	0	0	0	0
