pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
escort_kids_4---shop_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---education_1	9	2	1	1	0	1	2	0	0	0	0	0	0
escort_other_1---education_2	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_1	1	1	0	1	1	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_2	7	1	1	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_other_2	0	1	0	0	0	0	1	0	0	2	1	3	0
escort_other_1---home_1	57	41	25	27	11	8	12	8	5	1	6	5	3
escort_other_1---home_2	25	20	16	10	5	3	1	1	1	4	0	0	1
escort_other_1---home_3	6	4	3	2	2	1	1	1	1	0	0	0	2
escort_other_1---home_4	7	2	1	0	0	0	0	1	0	1	0	0	0
escort_other_1---leisure_1	25	15	13	9	9	4	2	2	0	3	0	1	1
escort_other_1---leisure_2	2	2	5	3	2	4	0	1	1	0	1	0	1
escort_other_1---leisure_4	1	2	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---remote_home_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---remote_work_1	1	2	0	0	0	0	0	1	0	0	0	0	0
escort_other_1---remote_work_2	0	0	0	1	0	0	1	0	0	0	0	0	0
escort_other_1---shop_1	26	22	12	5	11	3	3	1	0	4	0	1	2
escort_other_1---shop_2	0	3	1	2	4	0	1	0	0	1	0	0	0
escort_other_1---shop_3	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---shop_4	1	2	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---work_1	8	12	5	3	6	4	3	5	5	1	0	2	5
escort_other_1---work_2	2	0	0	0	0	0	0	0	1	0	0	0	0
escort_other_1---work_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---escort_kids_1	3	0	0	1	0	0	0	0	0	0	0	0	0
escort_other_2---escort_other_3	0	0	0	0	0	1	0	0	0	0	0	0	0
escort_other_2---home_1	36	20	12	6	4	4	2	2	0	1	0	1	1
escort_other_2---home_2	6	5	2	2	1	0	0	0	0	1	0	0	0
escort_other_2---home_3	3	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---home_4	3	3	0	0	0	0	0	1	0	0	0	0	0
escort_other_2---leisure_1	1	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---leisure_2	1	0	2	2	0	0	0	0	0	0	0	0	0
escort_other_2---remote_home_1	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---shop_1	9	1	0	2	0	2	0	0	1	0	1	0	0
escort_other_2---shop_2	4	3	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---work_2	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---work_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---home_1	4	1	1	1	0	2	0	0	0	0	0	1	0
escort_other_3---home_3	1	0	1	0	1	0	0	0	0	0	0	0	0
escort_other_3---home_4	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---home_5	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---leisure_3	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---shop_1	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_4---home_1	2	2	1	0	0	0	1	0	0	0	0	0	0
home_1---education_1	301	307	188	125	108	88	85	77	57	38	41	50	70
home_1---escort_kids_1	87	58	32	15	15	7	14	6	4	5	2	0	0
home_1---escort_other_1	80	50	41	25	19	15	7	9	9	4	1	3	5
home_1---home_1	47	0	1	0	0	0	0	0	0	0	0	0	0
home_1---home_2	24	0	2	0	0	0	0	0	0	0	0	0	0
home_1---leisure_1	481	389	257	174	137	110	88	76	50	36	45	47	59
home_1---remote_home_1	0	0	0	0	1	0	0	0	0	0	0	1	0
home_1---remote_work_1	40	35	40	30	15	11	13	10	7	8	10	9	14
home_1---shop_1	958	722	415	289	206	140	104	89	72	64	40	39	63
home_1---work_1	441	568	547	437	417	350	260	236	226	227	245	377	244
home_2---education_1	9	11	1	8	5	4	2	6	5	2	1	2	2
home_2---education_2	157	132	75	50	35	23	21	28	11	8	5	5	30
home_2---education_3	1	3	0	0	0	0	0	0	0	0	0	0	1
home_2---escort_kids_1	37	24	17	7	3	2	0	1	3	2	0	0	2
home_2---escort_kids_2	14	19	11	1	3	1	3	1	0	0	1	0	1
home_2---escort_kids_3	1	1	0	0	0	1	0	0	1	0	0	0	0
home_2---escort_other_1	36	19	27	9	5	6	8	2	3	2	1	2	0
home_2---escort_other_2	9	4	3	3	3	0	2	0	0	0	0	1	0
home_2---escort_other_3	0	0	0	1	0	0	0	0	0	0	0	0	0
home_2---home_1	30	0	0	0	0	0	0	0	0	0	0	0	0
home_2---home_3	9	0	0	0	0	0	0	0	0	0	0	0	0
home_2---leisure_1	368	293	164	102	70	63	43	50	29	21	26	27	21
home_2---leisure_2	181	103	53	46	27	20	18	17	9	6	8	8	6
home_2---leisure_3	30	13	11	7	6	3	6	2	1	2	0	1	1
