time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_av	arrivals_av	stuck_av	en-route_av	departures_bike	arrivals_bike	stuck_bike	en-route_bike	departures_car	arrivals_car	stuck_car	en-route_car	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_walk	arrivals_walk	stuck_walk	en-route_walk
00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:10:00	4200	3	0	0	3	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	1	0	0	0	0
01:15:00	4500	1	1	0	3	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0
01:20:00	4800	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
01:25:00	5100	3	0	0	5	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	1	0	0	0	0
01:30:00	5400	2	2	0	5	0	0	0	0	0	0	0	0	1	2	0	3	1	0	0	2	0	0	0	0
01:35:00	5700	0	3	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0
01:40:00	6000	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
01:45:00	6300	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
01:50:00	6600	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
01:55:00	6900	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
02:00:00	7200	2	0	0	4	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0
02:05:00	7500	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0
02:10:00	7800	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0
02:15:00	8100	1	2	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0
02:20:00	8400	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
02:35:00	9300	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
02:40:00	9600	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
02:45:00	9900	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
02:50:00	10200	4	0	0	6	0	0	0	0	0	0	0	1	3	0	0	3	1	0	0	2	0	0	0	0
02:55:00	10500	1	1	0	6	0	0	0	0	0	0	0	1	1	1	0	3	0	0	0	2	0	0	0	0
03:00:00	10800	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	0
03:05:00	11100	2	1	0	7	0	0	0	0	0	0	0	1	2	1	0	4	0	0	0	2	0	0	0	0
03:10:00	11400	1	0	0	8	0	0	0	0	1	0	0	2	0	0	0	4	0	0	0	2	0	0	0	0
03:15:00	11700	2	1	0	9	0	0	0	0	1	0	0	3	1	1	0	4	0	0	0	2	0	0	0	0
03:20:00	12000	1	3	0	7	0	0	0	0	0	0	0	3	1	2	0	3	0	1	0	1	0	0	0	0
03:25:00	12300	3	1	0	9	2	0	0	2	0	0	0	3	1	1	0	3	0	0	0	1	0	0	0	0
03:30:00	12600	2	4	0	7	0	0	0	2	0	1	0	2	2	3	0	2	0	0	0	1	0	0	0	0
03:35:00	12900	1	2	0	6	0	0	0	2	0	0	0	2	1	2	0	1	0	0	0	1	0	0	0	0
03:40:00	13200	3	1	0	8	0	0	0	2	0	0	0	2	2	1	0	2	1	0	0	2	0	0	0	0
03:45:00	13500	7	3	0	12	0	1	0	1	2	0	0	4	1	2	0	1	3	0	0	5	1	0	0	1
03:50:00	13800	7	2	0	17	0	0	0	1	0	1	0	3	6	0	0	7	1	1	0	5	0	0	0	1
03:55:00	14100	8	4	0	21	0	0	0	1	0	0	0	3	5	4	0	8	0	0	0	5	3	0	0	4
04:00:00	14400	10	4	0	27	1	1	0	1	0	1	0	2	7	2	0	13	1	0	0	6	1	0	0	5
04:05:00	14700	4	4	0	27	0	0	0	1	0	1	0	1	4	1	0	16	0	0	0	6	0	2	0	3
04:10:00	15000	4	3	0	28	0	0	0	1	0	0	0	1	4	2	0	18	0	0	0	6	0	1	0	2
04:15:00	15300	10	7	0	31	1	0	0	2	0	0	0	1	8	7	0	19	0	0	0	6	1	0	0	3
04:20:00	15600	10	8	0	33	1	0	0	3	1	0	0	2	5	6	0	18	1	0	0	7	2	2	0	3
04:25:00	15900	9	8	0	34	2	0	0	5	1	0	0	3	4	8	0	14	0	0	0	7	2	0	0	5
04:30:00	16200	10	11	0	33	2	1	0	6	1	0	0	4	4	5	0	13	0	1	0	6	3	4	0	4
04:35:00	16500	6	6	0	33	2	2	0	6	0	0	0	4	3	2	0	14	0	1	0	5	1	1	0	4
04:40:00	16800	9	12	0	30	2	2	0	6	1	1	0	4	5	6	0	13	1	2	0	4	0	1	0	3
04:45:00	17100	8	9	0	29	0	0	0	6	0	1	0	3	3	5	0	11	2	2	0	4	3	1	0	5
04:50:00	17400	9	6	0	32	0	1	0	5	0	0	0	3	6	4	0	13	2	0	0	6	1	1	0	5
04:55:00	17700	17	3	0	46	2	0	0	7	1	0	0	4	9	3	0	19	4	0	0	10	1	0	0	6
05:00:00	18000	15	9	0	52	1	1	0	7	1	1	0	4	10	6	0	23	3	0	0	13	0	1	0	5
05:05:00	18300	23	10	0	65	2	0	0	9	1	0	0	5	15	9	0	29	3	0	0	16	2	1	0	6
05:10:00	18600	23	14	0	74	2	1	0	10	0	1	0	4	10	10	0	29	4	1	0	19	7	1	0	12
05:15:00	18900	43	15	0	102	4	1	0	13	4	0	0	8	22	14	0	37	6	0	0	25	7	0	0	19
05:20:00	19200	43	22	0	123	5	1	0	17	3	1	0	10	22	16	0	43	7	3	0	29	6	1	0	24
05:25:00	19500	55	30	0	148	2	1	0	18	3	2	0	11	32	18	0	57	13	1	0	41	5	8	0	21
05:30:00	19800	51	21	0	178	3	0	0	21	2	2	0	11	25	18	0	64	15	0	0	56	6	1	0	26
05:35:00	20100	53	27	0	204	2	0	0	23	5	0	0	16	22	22	0	64	19	5	0	70	5	0	0	31
05:40:00	20400	52	31	0	225	2	1	0	24	2	2	0	16	32	21	0	75	12	2	0	80	4	5	0	30
05:45:00	20700	78	39	0	264	5	4	0	25	10	6	0	20	33	22	0	86	24	2	0	102	6	5	0	31
05:50:00	21000	85	46	0	303	2	1	0	26	7	1	0	26	38	31	0	93	24	8	0	118	14	5	0	40
05:55:00	21300	95	34	0	364	4	1	0	29	8	1	0	33	44	24	0	113	30	5	0	143	9	3	0	46
06:00:00	21600	96	53	0	407	3	2	0	30	10	3	0	40	46	36	0	123	31	6	0	168	6	6	0	46
06:05:00	21900	104	60	0	451	5	1	0	34	9	7	0	42	49	34	0	138	35	9	0	194	6	9	0	43
06:10:00	22200	136	62	0	525	6	3	0	37	12	6	0	48	69	37	0	170	29	9	0	214	20	7	0	56
06:15:00	22500	147	91	0	581	6	2	0	41	9	10	0	47	80	54	0	196	39	10	0	243	13	15	0	54
06:20:00	22800	165	80	0	666	5	1	0	45	8	9	0	46	82	43	0	235	43	19	0	267	27	8	0	73
06:25:00	23100	167	109	0	724	9	1	0	53	13	8	0	51	89	62	0	262	37	27	0	277	19	11	0	81
06:30:00	23400	197	111	0	810	9	1	0	61	16	9	0	58	92	65	0	289	57	17	0	317	23	19	0	85
