pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
AVPickup---AVDropoff	880	423	264	153	101	63	47	27	17	8	6	12	30
AVStay---AVPickup	768	506	297	159	103	48	42	33	15	12	11	10	28
education_1---education_2	23	0	0	0	0	0	0	0	0	0	0	0	1
education_1---escort_kids_2	0	0	0	0	0	1	0	0	0	0	0	1	0
education_1---escort_other_1	2	2	2	0	0	0	0	0	0	0	0	0	1
education_1---escort_other_2	2	0	0	0	0	0	0	0	0	0	0	0	0
education_1---home_1	55	62	43	32	22	23	25	17	23	14	14	23	41
education_1---home_2	202	204	106	69	56	44	53	37	35	24	23	23	76
education_1---home_3	4	1	1	0	2	0	0	1	1	0	0	0	0
education_1---leisure_1	68	40	19	10	10	3	7	10	5	4	1	3	12
education_1---leisure_2	1	1	0	0	1	0	1	2	1	0	0	0	0
education_1---leisure_3	0	2	0	0	0	0	0	0	0	0	0	0	0
education_1---remote_home_1	5	4	2	0	0	1	0	0	0	0	0	0	1
education_1---remote_work_1	0	0	0	0	0	0	0	0	0	0	0	0	1
education_1---shop_1	29	20	8	4	5	9	6	6	5	0	1	3	8
education_1---shop_2	0	0	0	3	0	0	0	1	0	0	0	0	0
education_1---work_1	0	0	0	1	0	0	0	0	1	2	0	0	3
education_1---work_2	0	0	2	0	2	2	1	0	0	1	0	0	1
education_2---education_3	16	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_1	0	0	1	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_other_1	1	1	1	0	1	1	0	0	0	0	0	0	1
education_2---escort_other_2	0	0	0	0	0	0	0	0	0	0	0	1	0
education_2---home_1	82	81	40	31	29	20	13	16	11	11	10	8	35
education_2---home_2	6	8	1	3	3	3	2	3	2	1	1	4	4
education_2---home_3	53	39	22	20	12	5	13	11	4	2	2	2	18
education_2---home_4	0	0	0	0	0	0	0	0	0	0	0	0	1
education_2---leisure_1	20	19	6	7	4	3	5	2	2	2	0	0	2
education_2---leisure_2	6	5	1	1	2	1	0	0	4	0	2	1	0
education_2---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
education_2---remote_home_1	0	1	0	0	1	0	0	0	0	0	1	0	0
education_2---remote_home_2	1	0	2	0	0	0	0	0	0	0	0	0	0
education_2---remote_work_1	1	1	0	0	0	0	0	0	0	0	0	0	0
education_2---shop_1	6	5	2	2	0	2	1	0	0	0	0	0	1
education_2---shop_2	2	1	0	0	0	0	0	0	1	0	0	1	1
education_2---work_1	0	0	0	0	0	0	0	2	0	0	0	0	2
education_2---work_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---education_4	2	0	0	0	0	0	0	0	0	0	0	0	0
education_3---escort_kids_1	1	0	0	0	0	0	0	0	0	0	0	0	0
education_3---home_1	10	5	4	1	1	2	0	2	0	0	1	0	1
education_3---home_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---home_3	1	1	0	1	0	1	0	0	0	0	0	0	0
education_3---leisure_1	0	0	1	1	0	0	0	0	0	1	1	0	0
education_3---remote_home_2	0	0	0	0	0	0	0	1	0	0	0	0	0
education_4---home_2	0	0	0	0	0	0	0	2	0	0	0	0	0
escort_kids_1---education_1	0	0	1	1	0	0	0	1	0	0	0	1	0
escort_kids_1---education_2	0	1	0	0	0	0	1	0	0	0	0	0	0
escort_kids_1---escort_kids_2	1	2	3	0	0	0	0	0	0	1	1	0	2
escort_kids_1---escort_other_1	7	4	1	3	0	0	0	0	0	0	0	0	0
escort_kids_1---escort_other_2	2	1	0	0	0	0	0	0	0	0	0	0	0
escort_kids_1---home_1	38	22	16	8	2	2	2	3	1	2	1	1	3
escort_kids_1---home_2	47	25	8	5	4	1	1	0	0	3	0	0	4
escort_kids_1---home_3	10	7	6	4	2	0	0	0	1	1	0	0	1
escort_kids_1---home_4	0	0	1	0	0	0	0	0	0	1	0	0	0
escort_kids_1---leisure_1	15	6	6	3	1	0	0	0	0	0	0	1	1
escort_kids_1---leisure_2	3	2	1	0	2	1	1	0	0	0	1	2	0
escort_kids_1---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_1---shop_1	21	12	4	4	1	2	2	1	1	0	0	0	3
escort_kids_1---shop_2	4	0	0	2	1	0	1	0	0	0	0	0	0
escort_kids_1---shop_3	0	1	1	0	0	0	0	0	0	0	0	0	0
escort_kids_1---work_1	5	10	7	9	2	8	6	5	3	4	0	5	5
escort_kids_1---work_2	2	2	1	0	0	1	0	0	0	0	0	0	0
escort_kids_2---escort_other_1	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---home_1	20	11	15	6	3	4	3	1	3	1	0	0	3
escort_kids_2---home_2	1	4	3	1	0	1	0	0	0	0	0	0	0
escort_kids_2---home_3	9	15	3	0	0	1	1	0	0	0	0	0	0
escort_kids_2---home_4	2	3	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---leisure_1	3	2	1	0	0	0	1	1	0	1	0	0	0
escort_kids_2---leisure_2	2	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---shop_1	5	1	2	1	0	0	0	0	1	1	0	0	0
escort_kids_2---shop_2	0	1	0	0	0	1	0	0	0	0	0	0	0
escort_kids_2---work_1	0	0	0	0	0	0	0	0	0	1	0	0	0
escort_kids_2---work_2	0	2	1	0	0	0	0	0	1	0	0	0	0
escort_kids_3---escort_kids_4	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_3---home_1	2	0	1	0	1	0	1	1	1	0	0	0	2
escort_kids_3---home_2	0	0	0	0	1	0	0	0	0	0	0	0	1
escort_kids_3---home_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_3---home_4	4	0	0	1	0	0	0	0	0	0	0	0	0
escort_kids_3---leisure_1	1	0	0	0	0	0	0	0	1	0	0	0	0
escort_kids_3---leisure_2	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_kids_3---leisure_3	0	0	0	0	0	0	0	0	1	0	0	0	0
escort_kids_3---shop_1	2	0	1	0	0	0	0	0	0	0	0	0	0
escort_kids_3---work_2	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_4---home_1	6	2	1	0	1	0	0	0	0	0	0	0	0
escort_kids_4---shop_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---education_1	8	3	0	2	0	1	0	1	0	0	0	1	0
escort_other_1---education_2	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_1	1	1	0	2	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_2	6	1	2	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_other_2	0	1	0	0	0	0	1	0	1	1	1	3	0
escort_other_1---home_1	59	43	20	23	12	7	12	5	3	3	5	1	16
escort_other_1---home_2	33	17	12	7	6	3	0	1	0	0	0	0	8
escort_other_1---home_3	5	3	3	3	3	1	1	0	1	0	0	0	3
escort_other_1---home_4	8	2	1	0	1	0	0	0	0	0	0	0	0
escort_other_1---leisure_1	28	18	12	6	6	6	1	2	1	1	0	1	2
escort_other_1---leisure_2	4	6	2	3	1	2	0	1	1	0	0	0	2
escort_other_1---leisure_4	2	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---remote_home_1	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---remote_work_1	1	2	0	0	0	0	1	0	0	0	0	0	0
escort_other_1---remote_work_2	0	0	0	1	0	0	1	0	0	0	0	0	0
escort_other_1---shop_1	28	19	13	6	7	7	1	1	2	1	1	1	3
escort_other_1---shop_2	0	5	1	2	1	1	1	0	0	1	0	0	0
escort_other_1---shop_3	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_other_1---shop_4	1	1	1	0	0	0	0	0	0	0	0	0	0
escort_other_1---work_1	13	7	5	7	5	3	2	3	4	1	0	4	5
escort_other_1---work_2	0	2	0	0	1	0	0	0	0	0	0	0	0
escort_other_1---work_3	0	0	0	0	0	0	0	0	1	0	0	0	0
escort_other_2---escort_kids_1	3	0	0	1	0	0	0	0	0	0	0	0	0
escort_other_2---escort_other_3	0	0	0	0	0	1	0	0	0	0	0	0	0
escort_other_2---home_1	44	18	9	3	2	3	3	2	1	0	0	0	4
escort_other_2---home_2	5	9	0	2	0	0	0	0	0	1	0	0	0
escort_other_2---home_3	3	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---home_4	3	3	0	0	0	0	0	0	0	0	0	0	1
escort_other_2---leisure_1	2	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---leisure_2	1	1	3	0	0	0	0	0	0	0	0	0	0
escort_other_2---remote_home_1	0	0	0	0	0	0	0	0	0	0	1	0	0
escort_other_2---shop_1	8	2	1	0	1	0	1	1	0	0	0	0	2
escort_other_2---shop_2	4	3	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---work_2	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_other_2---work_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---home_1	3	1	2	1	0	2	0	0	0	0	0	1	0
escort_other_3---home_3	1	0	0	1	0	0	0	0	0	0	0	0	1
escort_other_3---home_4	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---home_5	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---leisure_3	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---shop_1	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_4---home_1	3	2	1	0	0	0	0	0	0	0	0	0	0
home_1---education_1	289	291	164	102	91	81	87	70	68	44	44	68	136
home_1---escort_kids_1	91	53	28	16	9	7	13	6	4	6	2	1	9
home_1---escort_other_1	89	50	41	18	19	15	4	3	5	2	3	2	17
home_1---home_1	42	0	0	0	0	0	1	0	0	0	0	0	5
home_1---home_2	26	0	0	0	0	0	0	0	0	0	0	0	0
home_1---leisure_1	466	378	228	154	124	116	86	75	62	29	39	38	154
home_1---remote_home_1	0	0	0	0	2	0	0	0	0	0	0	0	0
home_1---remote_work_1	40	40	34	29	10	10	12	8	5	12	8	9	25
home_1---shop_1	944	716	362	265	171	144	101	98	72	57	34	51	186
home_1---work_1	431	558	547	412	398	346	233	246	203	203	228	390	380
home_2---education_1	10	9	1	7	8	2	4	3	4	3	1	2	4
home_2---education_2	146	126	71	45	38	23	26	26	17	10	7	5	40
home_2---education_3	1	2	0	0	0	0	0	0	0	0	0	0	2
home_2---escort_kids_1	35	26	15	8	4	2	2	0	1	2	0	1	2
home_2---escort_kids_2	19	15	8	1	2	4	1	2	1	0	0	1	1
home_2---escort_kids_3	1	1	0	0	0	1	1	0	0	0	0	0	0
home_2---escort_other_1	36	23	20	8	8	5	7	1	3	1	1	1	6
home_2---escort_other_2	10	3	4	3	1	1	0	2	0	0	0	0	1
home_2---escort_other_3	0	0	0	1	0	0	0	0	0	0	0	0	0
home_2---home_1	28	0	1	0	0	0	0	0	0	0	0	0	1
home_2---home_3	9	0	0	0	0	0	0	0	0	0	0	0	0
home_2---leisure_1	386	269	147	106	75	59	38	43	30	20	19	26	59
home_2---leisure_2	172	108	60	37	29	20	13	15	5	8	9	3	23
home_2---leisure_3	35	10	11	4	4	3	3	3	2	1	1	2	4
home_2---leisure_4	4	3	3	1	1	0	0	1	0	0	1	0	1
home_2---remote_home_1	1	3	1	1	1	1	0	0	0	0	0	0	0
home_2---remote_work_1	9	15	5	6	11	4	8	4	0	1	0	1	2
home_2---remote_work_2	6	8	9	5	4	1	2	4	1	1	0	1	1
home_2---remote_work_3	0	1	1	1	1	0	0	0	0	0	0	0	0
home_2---remote_work_4	0	0	0	1	0	0	0	0	0	0	0	0	0
home_2---remote_work_5	0	2	1	1	0	0	0	0	0	0	0	0	0
home_2---shop_1	258	154	79	54	28	21	21	11	11	3	6	4	27
home_2---shop_2	112	64	43	31	20	20	9	6	9	3	4	1	10
home_2---shop_3	34	19	9	6	1	3	2	0	0	0	1	0	1
home_2---shop_4	0	0	0	0	0	1	0	0	0	0	0	0	0
home_2---shop_7	1	0	0	0	0	0	0	0	0	0	0	0	0
home_2---work_1	28	26	18	19	10	11	12	11	7	10	5	15	9
home_2---work_2	153	170	141	86	70	68	48	28	25	18	13	8	37
home_2---work_3	5	12	9	9	7	5	3	1	1	1	0	1	1
home_2---work_4	5	0	1	1	2	0	0	0	0	0	0	0	0
home_3---education_1	1	2	2	0	1	1	0	0	0	0	1	1	2
home_3---education_2	3	2	1	0	0	0	0	1	0	0	0	0	2
home_3---education_3	4	3	1	0	0	2	0	0	0	0	0	0	0
home_3---escort_kids_1	11	7	2	1	2	1	0	0	1	1	0	0	1
home_3---escort_kids_2	10	6	1	2	1	0	0	0	0	0	0	0	2
home_3---escort_kids_3	5	0	2	2	0	0	0	0	0	0	0	0	1
home_3---escort_other_1	17	19	10	6	1	0	1	1	1	0	0	0	1
home_3---escort_other_2	13	5	4	2	0	0	0	0	0	0	0	0	2
home_3---escort_other_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_3---escort_other_4	1	1	0	0	0	1	0	0	0	0	0	0	0
home_3---home_1	13	0	0	0	0	0	0	0	0	0	0	0	0
home_3---home_4	1	0	0	0	0	0	0	0	0	0	0	0	1
home_3---leisure_1	176	95	44	25	20	23	11	19	4	0	1	4	9
home_3---leisure_2	80	39	21	15	6	8	1	6	4	3	1	1	6
home_3---leisure_3	22	12	5	4	2	1	3	2	0	3	1	1	6
home_3---leisure_4	2	1	0	0	0	1	0	0	0	0	0	0	0
home_3---remote_work_1	5	3	0	0	1	0	0	0	0	0	0	0	0
home_3---remote_work_2	1	0	0	1	0	0	0	0	0	0	0	0	0
home_3---remote_work_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_3---shop_1	53	32	12	8	4	4	3	1	1	1	1	0	3
home_3---shop_2	8	9	4	3	1	0	1	0	1	0	0	0	0
home_3---shop_3	15	7	1	2	0	0	0	0	0	0	0	0	2
home_3---shop_4	0	0	0	1	0	0	0	0	0	0	0	0	0
home_3---work_1	2	3	1	1	3	2	0	1	3	1	0	1	1
home_3---work_2	3	9	10	5	5	2	3	1	3	1	0	0	6
home_3---work_3	3	3	3	11	8	1	2	3	0	0	0	0	1
home_3---work_4	1	0	0	0	1	0	0	0	0	0	0	0	0
home_4---education_1	0	1	0	1	0	0	0	0	0	0	1	0	0
home_4---escort_kids_1	0	1	0	0	0	0	0	0	0	0	0	0	0
home_4---escort_kids_2	1	1	1	0	0	0	0	0	0	0	0	0	0
home_4---escort_kids_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_4---escort_kids_4	4	0	0	0	1	0	0	0	0	0	0	0	0
home_4---escort_other_1	0	0	0	1	0	1	0	0	0	0	0	0	0
