pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
AVPickup---AVDropoff	366	161	81	57	53	25	22	11	14	6	6	6	47
AVStay---AVPickup	611	143	53	26	8	4	3	2	1	0	0	1	3
education_1---education_2	24	0	0	0	0	0	0	0	0	0	0	0	0
education_1---escort_kids_2	0	0	0	0	0	0	1	0	0	0	0	1	0
education_1---escort_other_1	1	2	3	0	0	1	0	0	0	0	0	0	0
education_1---escort_other_2	2	0	0	0	0	0	0	0	0	0	0	0	0
education_1---home_1	63	67	41	29	24	33	22	17	22	16	15	24	21
education_1---home_2	211	221	107	67	61	46	53	42	31	21	22	17	53
education_1---home_3	3	2	1	0	2	0	0	2	0	0	0	0	0
education_1---leisure_1	70	46	19	14	10	6	5	10	5	4	0	1	2
education_1---leisure_2	2	1	1	0	0	0	1	1	1	0	0	0	0
education_1---leisure_3	0	2	0	0	0	0	0	0	0	0	0	0	0
education_1---remote_home_1	5	3	3	1	0	0	0	1	0	0	0	0	0
education_1---remote_work_1	0	0	0	0	0	0	0	0	0	0	0	0	1
education_1---shop_1	30	22	9	4	10	6	7	7	5	0	4	0	0
education_1---shop_2	0	0	0	2	1	0	0	1	0	0	0	0	0
education_1---work_1	0	1	0	1	0	1	0	0	1	1	0	0	2
education_1---work_2	0	0	2	0	0	2	2	0	0	1	0	0	2
education_2---education_3	16	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_1	0	0	0	1	0	0	0	0	0	0	0	0	0
education_2---escort_kids_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_other_1	1	3	1	1	0	0	0	0	0	0	0	0	0
education_2---escort_other_2	0	0	0	0	0	0	1	0	0	0	0	0	0
education_2---home_1	88	88	35	27	29	19	18	15	11	11	13	10	23
education_2---home_2	7	7	3	2	2	5	2	3	2	1	1	4	2
education_2---home_3	50	46	23	19	13	5	12	14	2	2	2	2	13
education_2---home_4	0	0	0	0	0	0	0	0	0	0	0	0	1
education_2---leisure_1	22	21	5	6	4	2	5	3	2	1	0	0	1
education_2---leisure_2	6	5	1	1	2	1	0	0	4	0	2	1	0
education_2---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
education_2---remote_home_1	0	1	0	0	1	0	0	0	0	0	1	0	0
education_2---remote_home_2	1	0	2	0	0	0	0	0	0	0	0	0	0
education_2---remote_work_1	1	1	0	0	0	0	0	0	0	0	0	0	0
education_2---shop_1	7	5	2	1	1	2	1	0	0	0	0	0	0
education_2---shop_2	2	2	0	0	0	0	0	0	1	0	0	1	0
education_2---work_1	0	0	0	0	0	0	0	2	0	0	0	0	2
education_2---work_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---education_4	2	0	0	0	0	0	0	0	0	0	0	0	0
education_3---escort_kids_1	1	0	0	0	0	0	0	0	0	0	0	0	0
education_3---home_1	10	5	4	2	1	2	0	2	0	0	0	0	1
education_3---home_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---home_3	1	1	0	1	0	1	0	0	0	0	0	0	0
education_3---leisure_1	0	1	0	1	0	0	0	0	0	1	1	0	0
education_3---remote_home_2	0	0	0	0	0	0	0	1	0	0	0	0	0
education_4---home_2	0	0	0	0	0	0	0	2	0	0	0	0	0
escort_kids_1---education_1	0	1	0	1	0	0	1	0	1	0	0	0	0
escort_kids_1---education_2	0	1	0	0	0	0	1	0	0	0	0	0	0
