pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
AVPickup---AVDropoff	770	365	191	128	94	63	37	25	18	9	8	7	45
AVStay---AVPickup	1011	390	185	83	36	23	10	2	6	3	2	2	7
education_1---education_2	22	1	0	0	0	0	0	0	0	0	0	1	0
education_1---escort_kids_2	0	0	0	1	0	0	1	0	0	0	0	0	0
education_1---escort_other_1	2	2	2	0	0	0	0	0	0	0	0	0	1
education_1---escort_other_2	2	0	0	0	0	0	0	0	0	0	0	0	0
education_1---home_1	60	63	43	33	21	25	23	19	24	23	15	24	21
education_1---home_2	212	207	115	67	59	44	52	41	35	25	20	21	54
education_1---home_3	4	1	1	0	2	0	0	2	0	0	0	0	0
education_1---leisure_1	68	38	19	12	9	6	8	11	8	4	2	1	6
education_1---leisure_2	2	1	0	0	1	0	1	1	1	0	0	0	0
education_1---leisure_3	0	1	1	0	0	0	0	0	0	0	0	0	0
education_1---remote_home_1	5	4	2	0	1	1	0	0	0	0	0	0	0
education_1---remote_work_1	0	0	0	0	0	0	0	0	0	0	0	0	1
education_1---shop_1	29	21	7	5	9	9	5	8	5	1	2	2	1
education_1---shop_2	0	0	0	2	1	0	0	1	0	0	0	0	0
education_1---work_1	0	0	0	0	1	1	0	0	2	1	0	0	2
education_1---work_2	0	1	1	1	1	2	1	0	0	1	0	0	1
education_2---education_3	15	1	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_1	0	0	1	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_other_1	1	1	0	1	2	0	1	0	0	0	0	0	0
education_2---escort_other_2	0	0	0	0	0	0	0	1	0	0	0	0	0
education_2---home_1	84	84	37	34	28	23	14	16	12	10	12	11	22
education_2---home_2	7	6	2	2	4	4	2	3	2	1	1	4	3
education_2---home_3	56	40	23	19	12	6	13	13	3	2	2	2	12
education_2---home_4	0	0	0	0	0	0	0	0	0	0	0	0	1
education_2---leisure_1	22	18	6	5	4	3	5	2	2	2	2	0	1
education_2---leisure_2	5	5	2	1	2	1	0	0	4	0	2	1	0
education_2---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
education_2---remote_home_1	0	1	0	0	1	0	0	0	0	0	1	0	0
education_2---remote_home_2	1	0	2	0	0	0	0	0	0	0	0	0	0
education_2---remote_work_1	1	1	0	0	0	0	0	0	0	0	0	0	0
education_2---shop_1	6	5	1	2	1	3	1	0	0	0	0	0	0
education_2---shop_2	2	1	0	0	0	0	1	0	1	0	0	1	0
education_2---work_1	0	0	0	0	0	0	0	2	0	0	0	0	2
education_2---work_2	0	0	1	0	0	0	0	0	0	0	0	0	0
education_3---education_4	2	0	0	0	0	0	0	0	0	0	0	0	0
education_3---escort_kids_1	1	0	0	0	0	0	0	0	0	0	0	0	0
education_3---home_1	10	4	5	2	1	2	0	2	0	0	0	0	1
education_3---home_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---home_3	1	1	0	1	0	1	0	0	0	0	0	0	0
education_3---leisure_1	0	0	1	1	0	0	0	0	0	1	1	0	0
education_3---remote_home_2	0	0	0	0	0	0	0	1	0	0	0	0	0
education_4---home_2	0	0	0	0	0	0	0	2	0	0	0	0	0
escort_kids_1---education_1	0	0	1	1	0	1	0	0	1	0	0	0	0
escort_kids_1---education_2	0	1	0	0	0	0	1	0	0	0	0	0	0
escort_kids_1---escort_kids_2	1	2	2	0	0	1	1	0	0	0	0	0	3
escort_kids_1---escort_other_1	8	4	1	1	1	0	0	0	0	0	0	0	0
escort_kids_1---escort_other_2	1	1	0	0	0	1	0	0	0	0	0	0	0
escort_kids_1---home_1	37	26	15	7	5	1	2	1	0	1	2	1	3
escort_kids_1---home_2	48	29	10	2	3	2	0	0	1	1	0	1	1
