pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
AVPickup---AVDropoff	801	395	231	132	79	67	49	29	26	15	8	7	21
AVStay---AVPickup	841	468	245	126	60	36	28	22	12	6	6	3	9
education_1---education_2	23	0	0	0	0	0	0	0	0	0	0	0	1
education_1---escort_kids_2	0	0	0	0	2	0	0	0	0	0	0	0	0
education_1---escort_other_1	1	2	2	0	1	0	0	0	1	0	0	0	0
education_1---escort_other_2	2	0	0	0	0	0	0	0	0	0	0	0	0
education_1---home_1	58	66	49	27	21	22	24	16	21	14	10	22	44
education_1---home_2	213	199	110	73	56	45	47	34	35	20	23	13	84
education_1---home_3	3	2	1	0	1	0	0	2	1	0	0	0	0
education_1---leisure_1	66	33	20	15	10	3	7	10	4	5	2	2	15
education_1---leisure_2	0	2	0	0	1	0	1	2	1	0	0	0	0
education_1---leisure_3	0	2	0	0	0	0	0	0	0	0	0	0	0
education_1---remote_home_1	4	4	3	0	1	0	0	1	0	0	0	0	0
education_1---remote_work_1	0	0	0	0	0	1	0	0	0	0	0	0	0
education_1---shop_1	30	18	8	8	7	4	5	7	4	0	3	0	9
education_1---shop_2	0	0	0	2	0	0	0	2	0	0	0	0	0
education_1---work_1	0	0	1	0	1	0	1	0	1	1	0	0	2
education_1---work_2	1	1	0	0	1	1	0	0	1	1	0	0	2
education_2---education_3	15	0	0	0	0	0	0	0	0	0	0	0	1
education_2---escort_kids_1	0	0	1	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_other_1	0	3	2	0	0	0	1	0	0	0	0	0	0
education_2---escort_other_2	0	0	0	0	1	0	0	0	0	0	0	0	0
education_2---home_1	80	80	36	34	28	24	18	15	9	10	9	10	33
education_2---home_2	6	6	1	5	3	3	2	3	2	1	1	4	2
education_2---home_3	52	41	26	18	12	4	10	17	2	2	1	2	16
education_2---home_4	0	0	0	0	0	0	0	0	0	0	0	0	1
education_2---leisure_1	20	19	8	5	4	1	5	5	2	2	0	0	1
education_2---leisure_2	6	4	1	1	2	1	0	0	4	0	2	1	1
education_2---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
education_2---remote_home_1	0	1	0	0	1	0	0	0	0	0	1	0	0
education_2---remote_home_2	1	0	2	0	0	0	0	0	0	0	0	0	0
education_2---remote_work_1	1	1	0	0	0	0	0	0	0	0	0	0	0
education_2---shop_1	7	5	2	1	1	2	1	0	0	0	0	0	0
education_2---shop_2	3	0	0	0	0	0	0	0	1	0	0	1	1
education_2---work_1	0	0	0	0	0	0	0	1	0	0	0	0	3
education_2---work_2	0	0	0	0	0	0	0	0	0	0	0	0	1
education_3---education_4	2	0	0	0	0	0	0	0	0	0	0	0	0
education_3---escort_kids_1	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---home_1	11	5	4	1	1	2	0	1	0	0	0	0	2
education_3---home_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---home_3	1	1	0	1	0	1	0	0	0	0	0	0	0
education_3---leisure_1	0	0	1	1	0	0	0	0	0	1	1	0	0
education_3---remote_home_2	0	0	0	0	0	0	0	1	0	0	0	0	0
education_4---home_2	0	0	0	0	0	0	0	2	0	0	0	0	0
escort_kids_1---education_1	0	1	0	2	0	1	0	0	0	0	0	0	0
escort_kids_1---education_2	0	1	0	0	0	0	1	0	0	0	0	0	0
escort_kids_1---escort_kids_2	2	2	1	1	0	1	0	0	0	1	1	0	1
escort_kids_1---escort_other_1	6	5	2	2	0	0	0	0	0	0	0	0	0
escort_kids_1---escort_other_2	2	1	0	0	0	0	0	0	0	0	0	0	0
escort_kids_1---home_1	39	26	13	4	4	1	2	3	1	1	1	1	5
escort_kids_1---home_2	51	23	10	3	2	2	1	0	0	1	1	0	4
escort_kids_1---home_3	12	7	6	2	2	1	0	0	0	1	0	0	1
escort_kids_1---home_4	0	0	1	0	1	0	0	0	0	0	0	0	0
escort_kids_1---leisure_1	13	10	4	3	0	1	0	0	0	0	0	1	1
escort_kids_1---leisure_2	3	2	1	1	1	1	1	0	0	0	1	2	0
escort_kids_1---leisure_3	1	0	1	0	0	0	0	0	0	0	0	0	0
