pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
AVPickup---AVDropoff	664	405	249	142	80	52	47	32	20	10	5	8	24
AVStay---AVPickup	647	429	269	143	85	61	37	29	11	7	3	6	14
education_1---education_2	22	0	0	0	0	0	0	0	0	0	0	0	2
education_1---escort_kids_2	0	0	0	0	1	1	0	0	0	0	0	0	0
education_1---escort_other_1	1	3	2	0	0	1	0	0	0	0	0	0	0
education_1---escort_other_2	2	0	0	0	0	0	0	0	0	0	0	0	0
education_1---home_1	58	70	42	31	24	25	23	18	18	12	10	20	43
education_1---home_2	205	201	109	77	57	45	49	36	34	17	25	13	84
education_1---home_3	3	1	2	0	2	0	0	1	0	0	0	1	0
education_1---leisure_1	61	38	17	13	11	3	8	11	6	4	2	1	17
education_1---leisure_2	0	1	0	0	1	0	1	2	1	0	1	0	0
education_1---leisure_3	0	2	0	0	0	0	0	0	0	0	0	0	0
education_1---remote_home_1	4	4	3	0	0	1	0	1	0	0	0	0	0
education_1---remote_work_1	0	0	0	0	0	1	0	0	0	0	0	0	0
education_1---shop_1	34	17	11	5	9	6	6	6	4	2	3	0	1
education_1---shop_2	0	0	0	2	0	0	0	2	0	0	0	0	0
education_1---work_1	0	0	1	0	1	1	0	0	1	1	0	0	2
education_1---work_2	1	2	0	0	0	1	1	1	1	1	0	0	1
education_2---education_3	16	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_1	0	0	1	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_other_1	0	2	2	1	0	0	0	0	0	1	0	0	0
education_2---escort_other_2	0	0	0	0	0	0	0	0	1	0	0	0	0
education_2---home_1	82	81	41	32	29	22	14	14	13	11	10	11	27
education_2---home_2	6	5	2	4	3	4	2	3	2	1	1	4	4
education_2---home_3	57	38	26	18	12	6	10	14	3	2	2	2	13
education_2---home_4	0	0	0	0	0	0	0	0	0	0	0	0	1
education_2---leisure_1	23	17	6	5	3	2	5	5	2	1	0	0	3
education_2---leisure_2	6	4	1	1	2	1	0	0	4	0	2	1	1
education_2---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
education_2---remote_home_1	0	1	0	0	1	0	0	0	0	0	1	0	0
education_2---remote_home_2	1	0	2	0	0	0	0	0	0	0	0	0	0
education_2---remote_work_1	1	1	0	0	0	0	0	0	0	0	0	0	0
education_2---shop_1	7	5	2	1	0	3	1	0	0	0	0	0	0
education_2---shop_2	2	1	0	0	0	0	0	0	1	0	0	1	1
education_2---work_1	0	0	0	0	0	0	0	2	0	0	0	0	2
education_2---work_2	0	0	0	1	0	0	0	0	0	0	0	0	0
education_3---education_4	2	0	0	0	0	0	0	0	0	0	0	0	0
