pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education_1---education_2	24	0	0	0	0	0	0	0	0	0	0	0	0
education_1---escort_kids_2	0	0	0	0	0	0	1	0	0	0	0	0	1
education_1---escort_other_1	1	3	2	1	0	0	0	0	0	0	0	0	0
education_1---escort_other_2	2	0	0	0	0	0	0	0	0	0	0	0	0
education_1---home_1	64	72	38	28	25	26	21	18	23	17	16	24	22
education_1---home_2	205	228	106	65	60	44	54	45	31	22	22	18	52
education_1---home_3	3	2	1	0	3	0	0	0	0	0	0	1	0
education_1---leisure_1	73	41	18	14	9	6	7	10	7	4	1	1	1
education_1---leisure_2	2	1	1	0	0	0	1	1	1	0	0	0	0
education_1---leisure_3	0	1	1	0	0	0	0	0	0	0	0	0	0
education_1---remote_home_1	5	4	2	1	0	0	0	1	0	0	0	0	0
education_1---remote_work_1	0	0	0	0	0	1	0	0	0	0	0	0	0
education_1---shop_1	33	20	6	7	7	7	7	7	6	0	3	0	1
education_1---shop_2	0	0	0	2	0	1	0	1	0	0	0	0	0
education_1---work_1	0	0	1	1	1	0	0	0	1	0	0	0	3
education_1---work_2	0	1	0	0	0	2	1	0	0	1	0	1	3
education_2---education_3	16	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_1	0	0	0	1	0	0	0	0	0	0	0	0	0
education_2---escort_kids_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_other_1	2	2	1	0	0	1	0	0	0	0	0	0	0
education_2---escort_other_2	0	0	0	0	0	0	1	0	0	0	0	0	0
education_2---home_1	84	91	34	28	29	19	18	17	12	10	12	9	24
education_2---home_2	8	6	3	2	3	4	2	3	2	1	1	4	2
education_2---home_3	48	47	24	20	12	5	12	14	3	2	2	2	12
education_2---home_4	0	0	0	0	0	0	0	0	0	0	0	0	1
education_2---leisure_1	21	22	4	5	4	3	5	3	2	2	0	0	1
education_2---leisure_2	5	6	1	1	2	1	0	0	4	0	2	1	0
education_2---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
education_2---remote_home_1	0	1	0	0	1	0	0	0	0	0	1	0	0
education_2---remote_home_2	1	0	2	0	0	0	0	0	0	0	0	0	0
education_2---remote_work_1	0	2	0	0	0	0	0	0	0	0	0	0	0
education_2---shop_1	7	5	2	1	1	2	1	0	0	0	0	0	0
education_2---shop_2	3	1	0	0	0	0	0	0	1	0	0	1	0
education_2---work_1	0	0	0	0	0	0	0	2	0	0	0	0	2
education_2---work_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---education_4	2	0	0	0	0	0	0	0	0	0	0	0	0
education_3---escort_kids_1	1	0	0	0	0	0	0	0	0	0	0	0	0
education_3---home_1	10	5	5	1	1	2	0	2	0	0	0	0	1
education_3---home_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---home_3	1	1	0	1	0	1	0	0	0	0	0	0	0
education_3---leisure_1	0	0	0	1	1	0	0	0	0	1	1	0	0
education_3---remote_home_2	0	0	0	0	0	0	0	1	0	0	0	0	0
education_4---home_2	0	0	0	0	0	0	0	2	0	0	0	0	0
escort_kids_1---education_1	0	1	0	1	0	1	0	0	1	0	0	0	0
escort_kids_1---education_2	0	1	0	0	0	0	1	0	0	0	0	0	0
escort_kids_1---escort_kids_2	2	2	3	0	1	0	0	0	0	0	0	0	2
escort_kids_1---escort_other_1	9	3	2	0	1	0	0	0	0	0	0	0	0
escort_kids_1---escort_other_2	2	1	0	0	0	0	0	0	0	0	0	0	0
escort_kids_1---home_1	41	27	10	7	2	2	2	3	1	1	0	1	3
escort_kids_1---home_2	50	26	7	5	3	3	1	0	0	2	0	0	1
escort_kids_1---home_3	9	12	4	2	2	1	0	0	0	1	0	1	0
escort_kids_1---home_4	0	0	1	1	0	0	0	0	0	0	0	0	0
escort_kids_1---leisure_1	17	6	4	4	0	0	2	0	0	0	0	0	0
escort_kids_1---leisure_2	4	1	0	1	2	1	1	0	0	0	1	2	0
escort_kids_1---leisure_3	1	1	0	0	0	0	0	0	0	0	0	0	0
escort_kids_1---shop_1	19	17	6	2	1	4	0	1	1	0	0	0	0
escort_kids_1---shop_2	6	0	1	0	0	0	0	1	0	0	0	0	0
escort_kids_1---shop_3	0	1	1	0	0	0	0	0	0	0	0	0	0
escort_kids_1---work_1	5	10	9	8	6	5	5	3	3	4	3	4	4
escort_kids_1---work_2	2	1	2	0	0	1	0	0	0	0	0	0	0
escort_kids_2---escort_other_1	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---home_1	24	10	16	7	1	4	3	1	2	1	1	0	0
escort_kids_2---home_2	2	3	1	2	1	1	0	0	0	0	0	0	0
escort_kids_2---home_3	11	11	3	0	0	1	1	0	0	1	0	0	1
escort_kids_2---home_4	2	3	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---leisure_1	3	1	1	1	1	0	1	1	0	0	0	0	0
escort_kids_2---leisure_2	2	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---shop_1	4	2	3	0	1	1	0	0	0	0	0	0	0
escort_kids_2---shop_2	0	0	1	0	0	1	0	0	0	0	0	0	0
escort_kids_2---work_1	0	0	0	0	0	0	0	0	0	0	0	0	1
escort_kids_2---work_2	0	2	1	1	0	0	0	0	0	0	0	0	0
escort_kids_3---escort_kids_4	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_3---home_1	2	2	0	2	1	0	0	0	0	0	0	0	2
escort_kids_3---home_2	0	0	0	0	1	0	0	0	0	1	0	0	0
escort_kids_3---home_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_3---home_4	4	0	0	1	0	0	0	0	0	0	0	0	0
escort_kids_3---leisure_1	0	1	0	0	0	0	0	0	1	0	0	0	0
escort_kids_3---leisure_2	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_kids_3---leisure_3	0	0	0	0	0	0	0	0	1	0	0	0	0
escort_kids_3---shop_1	2	0	0	0	1	0	0	0	0	0	0	0	0
escort_kids_3---work_2	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_4---home_1	5	3	1	0	1	0	0	0	0	0	0	0	0
escort_kids_4---shop_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---education_1	9	3	1	0	1	1	0	0	0	0	0	0	1
escort_other_1---education_2	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_1	1	2	0	1	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_2	4	3	1	0	0	1	0	0	0	0	0	0	0
escort_other_1---escort_kids_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_other_2	0	0	1	0	0	0	1	0	1	0	1	3	1
escort_other_1---home_1	62	57	22	19	7	12	4	7	2	2	3	2	10
escort_other_1---home_2	33	18	18	3	5	1	1	0	2	1	0	0	5
escort_other_1---home_3	8	1	7	3	1	0	2	0	0	0	0	0	1
escort_other_1---home_4	6	2	1	2	1	0	0	0	0	0	0	0	0
escort_other_1---leisure_1	24	21	10	8	9	3	1	3	0	0	0	2	3
escort_other_1---leisure_2	2	8	1	0	4	2	0	2	1	0	0	0	1
escort_other_1---leisure_4	2	0	1	0	0	0	0	0	0	0	0	0	0
escort_other_1---remote_home_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---remote_work_1	1	1	1	0	0	0	0	0	0	0	0	0	1
escort_other_1---remote_work_2	0	1	0	0	0	0	0	1	0	0	0	0	0
escort_other_1---shop_1	27	23	17	7	3	4	2	3	0	0	2	1	1
escort_other_1---shop_2	0	6	1	1	1	1	2	0	0	0	0	0	0
escort_other_1---shop_3	0	0	0	0	0	0	0	1	0	0	0	0	0
escort_other_1---shop_4	0	2	1	0	0	0	0	0	0	0	0	0	0
escort_other_1---work_1	10	15	2	5	5	4	1	1	3	1	1	0	11
escort_other_1---work_2	2	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---work_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---escort_kids_1	3	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---escort_other_3	0	0	0	0	0	0	1	0	0	0	0	0	0
escort_other_2---home_1	45	17	11	6	1	2	2	1	0	0	1	1	1
escort_other_2---home_2	6	7	1	1	1	0	0	1	0	0	0	0	0
escort_other_2---home_3	3	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---home_4	3	3	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---leisure_1	1	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---leisure_2	1	0	2	0	2	0	0	0	0	0	0	0	0
escort_other_2---remote_home_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---shop_1	8	3	1	0	0	0	1	1	0	1	0	0	1
escort_other_2---shop_2	4	2	1	0	0	0	0	0	0	0	0	0	0
escort_other_2---work_2	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_other_2---work_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---home_1	3	1	2	1	1	1	0	0	0	0	0	1	0
escort_other_3---home_3	1	0	2	0	0	0	0	0	0	0	0	0	0
escort_other_3---home_4	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---home_5	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---leisure_3	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---shop_1	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_other_4---home_1	2	3	1	0	0	0	0	0	0	0	0	0	0
home_1---education_1	301	320	155	97	104	86	92	84	64	46	45	61	80
home_1---escort_kids_1	89	68	28	16	14	9	7	8	0	4	1	0	1
home_1---escort_other_1	91	57	36	25	16	13	10	5	2	1	4	2	6
home_1---home_1	48	0	0	0	0	0	0	0	0	0	0	0	0
home_1---home_2	26	0	0	0	0	0	0	0	0	0	0	0	0
home_1---leisure_1	522	419	252	175	116	96	82	82	48	26	35	38	57
home_1---remote_home_1	0	0	0	0	1	0	1	0	0	0	0	0	0
home_1---remote_work_1	40	44	36	31	14	14	8	9	5	9	8	8	16
home_1---shop_1	1021	827	376	248	187	132	107	86	64	42	28	30	51
home_1---work_1	455	587	560	435	394	318	260	246	198	219	216	403	284
home_2---education_1	11	8	2	4	8	2	3	4	5	2	2	2	5
home_2---education_2	149	140	67	41	39	22	27	28	11	9	7	5	35
home_2---education_3	1	3	0	0	0	0	0	0	0	0	0	0	1
home_2---escort_kids_1	39	28	14	5	4	0	1	0	1	3	0	0	3
home_2---escort_kids_2	15	20	8	0	3	2	2	3	0	0	0	1	1
home_2---escort_kids_3	1	1	0	1	0	0	0	0	1	0	0	0	0
home_2---escort_other_1	36	30	17	12	5	3	5	0	3	2	2	0	5
home_2---escort_other_2	10	7	3	2	1	0	1	0	0	0	0	0	1
home_2---escort_other_3	0	0	0	1	0	0	0	0	0	0	0	0	0
home_2---home_1	30	0	0	0	0	0	0	0	0	0	0	0	0
home_2---home_3	9	0	0	0	0	0	0	0	0	0	0	0	0
home_2---leisure_1	414	287	143	98	77	55	41	41	31	14	17	17	34
home_2---leisure_2	185	113	55	39	25	18	15	18	2	4	10	6	9
home_2---leisure_3	34	16	6	7	4	7	4	1	1	2	0	1	0
home_2---leisure_4	4	5	2	0	1	0	0	1	0	0	1	0	1
home_2---remote_home_1	1	2	1	2	1	1	0	0	0	0	0	0	0
home_2---remote_work_1	14	13	5	11	6	3	5	2	1	1	1	2	2
home_2---remote_work_2	5	8	8	6	5	0	0	4	1	1	1	1	3
home_2---remote_work_3	0	1	1	2	0	0	0	0	0	0	0	0	0
home_2---remote_work_4	0	0	0	1	0	0	0	0	0	0	0	0	0
home_2---remote_work_5	0	3	1	0	0	0	0	0	0	0	0	0	0
home_2---shop_1	269	153	86	52	31	20	18	8	11	6	9	2	12
home_2---shop_2	106	84	44	26	16	21	7	5	6	1	3	3	10
home_2---shop_3	36	19	9	5	3	0	2	0	0	0	1	0	1
home_2---shop_4	0	0	0	0	0	1	0	0	0	0	0	0	0
home_2---shop_7	1	0	0	0	0	0	0	0	0	0	0	0	0
home_2---work_1	32	24	19	16	15	9	11	10	6	10	5	14	10
home_2---work_2	158	185	132	104	74	52	33	27	17	14	10	9	50
