time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_av	arrivals_av	stuck_av	en-route_av	departures_bike	arrivals_bike	stuck_bike	en-route_bike	departures_car	arrivals_car	stuck_car	en-route_car	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_walk	arrivals_walk	stuck_walk	en-route_walk
00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:10:00	4200	3	0	0	3	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0
01:15:00	4500	1	1	0	3	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0
01:20:00	4800	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
01:25:00	5100	3	0	0	6	0	0	0	1	0	0	0	0	3	0	0	4	0	0	0	1	0	0	0	0
01:30:00	5400	2	3	0	5	0	1	0	0	0	0	0	0	1	2	0	3	1	0	0	2	0	0	0	0
01:35:00	5700	0	3	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0
01:40:00	6000	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
01:45:00	6300	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
01:50:00	6600	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
01:55:00	6900	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
02:00:00	7200	2	0	0	4	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0
02:05:00	7500	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0
02:10:00	7800	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0
02:15:00	8100	1	2	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0
02:20:00	8400	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
02:35:00	9300	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
02:45:00	9900	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
02:50:00	10200	4	0	0	5	0	0	0	0	0	0	0	1	2	0	0	2	2	0	0	2	0	0	0	0
02:55:00	10500	1	1	0	5	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	2	0	0	0	0
03:00:00	10800	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0
03:05:00	11100	2	1	0	6	0	0	0	0	0	0	0	1	2	1	0	3	0	0	0	2	0	0	0	0
03:10:00	11400	1	0	0	7	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	2	0	0	0	0
03:15:00	11700	2	0	0	9	1	0	0	1	0	0	0	2	1	0	0	4	0	0	0	2	0	0	0	0
03:20:00	12000	1	2	0	8	0	0	0	1	0	0	0	2	1	2	0	3	0	0	0	2	0	0	0	0
03:25:00	12300	3	1	0	10	1	0	0	2	0	0	0	2	2	1	0	4	0	0	0	2	0	0	0	0
03:30:00	12600	2	5	0	7	0	1	0	1	0	1	0	1	2	3	0	3	0	0	0	2	0	0	0	0
03:35:00	12900	1	2	0	6	0	0	0	1	0	0	0	1	1	2	0	2	0	0	0	2	0	0	0	0
03:40:00	13200	3	2	0	7	0	0	0	1	0	0	0	1	2	2	0	2	1	0	0	3	0	0	0	0
03:45:00	13500	7	3	0	11	0	1	0	0	2	0	0	3	2	2	0	2	1	0	0	4	2	0	0	2
03:50:00	13800	7	3	0	15	1	0	0	1	0	1	0	2	5	0	0	7	1	2	0	3	0	0	0	2
03:55:00	14100	8	3	0	20	0	0	0	1	0	0	0	2	5	3	0	9	0	0	0	3	3	0	0	5
04:00:00	14400	10	3	0	27	1	0	0	2	0	1	0	1	7	2	0	14	2	0	0	5	0	0	0	5
04:05:00	14700	4	3	0	28	0	1	0	1	0	0	0	1	4	1	0	17	0	0	0	5	0	1	0	4
04:10:00	15000	4	4	0	28	1	0	0	2	0	0	0	1	3	2	0	18	0	1	0	4	0	1	0	3
04:15:00	15300	10	7	0	31	0	0	0	2	0	0	0	1	8	7	0	19	0	0	0	4	2	0	0	5
04:20:00	15600	10	8	0	33	0	0	0	2	1	0	0	2	5	6	0	18	1	0	0	5	3	2	0	6
04:25:00	15900	9	11	0	31	0	0	0	2	2	0	0	4	3	8	0	13	1	0	0	6	3	3	0	6
04:30:00	16200	10	11	0	30	1	1	0	2	1	0	0	5	5	5	0	13	0	1	0	5	3	4	0	5
04:35:00	16500	6	4	0	32	1	0	0	3	0	0	0	5	4	3	0	14	0	0	0	5	1	1	0	5
04:40:00	16800	9	11	0	30	3	2	0	4	1	1	0	5	4	6	0	12	1	1	0	5	0	1	0	4
04:45:00	17100	8	8	0	30	1	1	0	4	1	1	0	5	2	3	0	11	2	2	0	5	2	1	0	5
04:50:00	17400	9	6	0	33	0	2	0	2	0	0	0	5	4	3	0	12	2	0	0	7	3	1	0	7
04:55:00	17700	17	5	0	45	0	1	0	1	1	0	0	6	10	4	0	18	5	0	0	12	1	0	0	8
05:00:00	18000	15	9	0	51	0	1	0	0	1	1	0	6	11	6	0	23	3	0	0	15	0	1	0	7
05:05:00	18300	23	12	0	62	1	0	0	1	2	0	0	8	13	11	0	25	5	0	0	20	2	1	0	8
05:10:00	18600	23	13	0	72	2	0	0	3	0	1	0	7	10	10	0	25	6	1	0	25	5	1	0	12
05:15:00	18900	43	11	0	104	2	0	0	5	5	0	0	12	20	11	0	34	7	0	0	32	9	0	0	21
05:20:00	19200	43	20	0	127	4	0	0	9	4	1	0	15	24	15	0	43	6	3	0	35	5	1	0	25
05:25:00	19500	55	29	0	153	0	1	0	8	4	2	0	17	33	17	0	59	14	3	0	46	4	6	0	23
05:30:00	19800	53	32	0	174	3	5	0	6	3	4	0	16	25	20	0	64	16	2	0	60	6	1	0	28
05:35:00	20100	53	31	0	196	1	1	0	6	5	1	0	20	24	23	0	65	18	5	0	73	5	1	0	32
05:40:00	20400	51	26	0	221	3	1	0	8	2	2	0	20	32	16	0	81	10	2	0	81	4	5	0	31
05:45:00	20700	80	43	0	258	5	2	0	11	8	6	0	22	35	26	0	90	22	2	0	101	10	7	0	34
05:50:00	21000	85	47	0	296	1	1	0	11	8	2	0	28	37	31	0	96	27	8	0	120	12	5	0	41
05:55:00	21300	96	35	0	357	5	2	0	14	9	1	0	36	46	24	0	118	27	5	0	142	9	3	0	47
06:00:00	21600	96	56	0	397	3	5	0	12	8	4	0	40	47	35	0	130	31	7	0	166	7	5	0	49
06:05:00	21900	104	66	0	435	7	1	0	18	9	7	0	42	47	40	0	137	36	9	0	193	5	9	0	45
06:10:00	22200	135	62	0	508	4	0	0	22	12	6	0	48	69	40	0	166	30	10	0	213	20	6	0	59
06:15:00	22500	147	88	0	567	5	0	0	27	9	8	0	49	80	55	0	191	39	9	0	243	14	16	0	57
06:20:00	22800	165	80	0	652	4	1	0	30	9	8	0	50	80	43	0	228	44	20	0	267	28	8	0	77
06:25:00	23100	167	114	0	705	3	1	0	32	19	10	0	59	91	63	0	256	37	28	0	276	17	12	0	82
06:30:00	23400	196	106	0	795	4	0	0	36	16	9	0	66	95	62	0	289	59	19	0	316	22	16	0	88
