pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
AVPickup---AVDropoff	736	327	231	124	78	47	41	32	10	11	4	2	17
AVStay---AVPickup	791	326	190	102	93	54	35	24	12	10	5	2	18
education_1---education_2	24	0	0	0	0	0	0	0	0	0	0	0	0
education_1---escort_kids_2	0	0	0	0	0	0	1	0	0	0	0	1	0
education_1---escort_other_1	1	3	2	0	0	0	0	0	0	0	0	0	1
education_1---escort_other_2	2	0	0	0	0	0	0	0	0	0	0	0	0
education_1---home_1	60	67	42	27	25	21	28	20	19	15	11	19	39
education_1---home_2	209	203	113	70	58	45	52	38	37	23	26	17	61
education_1---home_3	4	1	1	0	2	0	0	1	0	1	0	0	0
education_1---leisure_1	70	36	21	12	10	3	7	12	5	4	2	1	9
education_1---leisure_2	0	2	0	0	1	0	1	2	1	0	0	0	0
education_1---leisure_3	0	1	1	0	0	0	0	0	0	0	0	0	0
education_1---remote_home_1	5	3	2	1	0	0	1	1	0	0	0	0	0
education_1---remote_work_1	0	0	0	0	0	1	0	0	0	0	0	0	0
education_1---shop_1	29	20	10	7	5	8	6	6	5	0	3	0	5
education_1---shop_2	0	0	0	2	1	0	0	1	0	0	0	0	0
education_1---work_1	0	0	0	0	0	2	1	0	1	1	0	0	2
education_1---work_2	1	0	2	0	0	2	1	0	1	1	0	0	1
education_2---education_3	16	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_1	0	0	1	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_other_1	1	2	1	0	1	0	0	0	0	1	0	0	0
education_2---escort_other_2	0	0	0	0	0	0	1	0	0	0	0	0	0
education_2---home_1	82	84	35	32	29	20	17	16	10	11	10	8	33
education_2---home_2	6	6	3	4	3	3	2	3	2	1	1	4	3
education_2---home_3	54	38	24	21	11	4	12	13	4	2	2	2	16
education_2---home_4	0	0	0	0	0	0	0	0	0	0	0	0	1
education_2---leisure_1	21	19	5	6	4	2	5	4	3	2	0	0	1
education_2---leisure_2	5	6	1	1	2	1	0	0	4	0	2	1	0
education_2---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
education_2---remote_home_1	0	1	0	0	1	0	0	0	0	0	1	0	0
education_2---remote_home_2	1	0	2	0	0	0	0	0	0	0	0	0	0
education_2---remote_work_1	0	2	0	0	0	0	0	0	0	0	0	0	0
education_2---shop_1	7	5	2	1	0	2	1	0	0	0	0	0	1
education_2---shop_2	2	1	0	0	0	0	0	0	1	0	0	1	1
education_2---work_1	0	0	0	0	0	0	0	2	0	0	0	0	2
education_2---work_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---education_4	2	0	0	0	0	0	0	0	0	0	0	0	0
education_3---escort_kids_1	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---home_1	12	4	4	1	1	2	0	2	0	0	0	0	1
education_3---home_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---home_3	1	1	0	1	0	1	0	0	0	0	0	0	0
education_3---leisure_1	0	0	1	1	0	0	0	0	0	1	1	0	0
education_3---remote_home_2	0	0	0	0	0	0	0	1	0	0	0	0	0
education_4---home_2	0	0	0	0	0	0	0	2	0	0	0	0	0
escort_kids_1---education_1	0	1	0	1	0	1	0	0	0	0	0	1	0
escort_kids_1---education_2	0	1	0	0	0	0	1	0	0	0	0	0	0
escort_kids_1---escort_kids_2	1	3	2	0	0	1	0	0	0	1	1	0	1
escort_kids_1---escort_other_1	7	4	2	1	0	0	0	0	0	0	0	0	1
escort_kids_1---escort_other_2	2	1	0	0	0	0	0	0	0	0	0	0	0
escort_kids_1---home_1	40	23	15	4	2	4	1	3	0	2	0	1	6
escort_kids_1---home_2	48	27	9	3	3	1	2	1	1	1	0	0	2
escort_kids_1---home_3	12	7	8	1	1	0	1	0	1	1	0	0	0
escort_kids_1---home_4	0	0	1	1	0	0	0	0	0	0	0	0	0
escort_kids_1---leisure_1	16	6	6	3	0	0	0	0	1	0	0	1	0
escort_kids_1---leisure_2	3	1	2	0	2	1	1	0	0	0	1	2	0
escort_kids_1---leisure_3	0	1	1	0	0	0	0	0	0	0	0	0	0
escort_kids_1---shop_1	20	9	10	1	1	3	2	1	2	0	0	0	2
escort_kids_1---shop_2	4	1	0	1	1	0	1	0	0	0	0	0	0
escort_kids_1---shop_3	0	1	1	0	0	0	0	0	0	0	0	0	0
escort_kids_1---work_1	3	13	8	10	4	6	4	2	3	5	1	5	5
escort_kids_1---work_2	2	2	1	0	0	1	0	0	0	0	0	0	0
escort_kids_2---escort_other_1	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---home_1	21	14	12	8	3	3	2	3	2	0	1	0	1
escort_kids_2---home_2	1	6	0	2	1	0	0	0	0	0	0	0	0
escort_kids_2---home_3	11	11	4	0	0	1	1	1	0	0	0	0	0
escort_kids_2---home_4	2	3	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---leisure_1	3	2	1	0	0	0	1	1	0	1	0	0	0
escort_kids_2---leisure_2	2	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---shop_1	4	1	3	0	0	0	0	1	0	1	0	0	1
escort_kids_2---shop_2	0	0	1	0	0	1	0	0	0	0	0	0	0
escort_kids_2---work_1	0	0	0	0	0	0	0	0	0	0	1	0	0
escort_kids_2---work_2	1	1	1	0	0	0	1	0	0	0	0	0	0
escort_kids_3---escort_kids_4	0	0	0	0	0	1	0	0	0	0	0	0	0
escort_kids_3---home_1	2	1	1	1	0	1	2	0	1	0	0	0	0
escort_kids_3---home_2	0	0	0	0	1	0	0	0	0	0	0	0	1
escort_kids_3---home_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_3---home_4	4	0	0	0	1	0	0	0	0	0	0	0	0
escort_kids_3---leisure_1	0	1	0	0	0	0	0	0	1	0	0	0	0
escort_kids_3---leisure_2	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_kids_3---leisure_3	0	0	0	0	0	0	0	0	1	0	0	0	0
escort_kids_3---shop_1	2	0	1	0	0	0	0	0	0	0	0	0	0
escort_kids_3---work_2	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_4---home_1	5	2	1	1	1	0	0	0	0	0	0	0	0
escort_kids_4---shop_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---education_1	9	2	0	1	2	1	0	1	0	0	0	0	0
escort_other_1---education_2	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_1	1	1	0	2	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_2	6	2	1	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_other_2	0	1	0	0	0	0	1	0	0	2	1	3	0
escort_other_1---home_1	53	50	27	17	5	10	12	9	4	2	4	1	14
escort_other_1---home_2	31	21	7	8	5	3	2	2	4	0	0	0	4
escort_other_1---home_3	6	4	4	4	1	1	0	0	1	0	0	0	2
escort_other_1---home_4	7	1	2	0	0	0	0	0	0	0	0	0	2
escort_other_1---leisure_1	28	16	8	8	8	5	2	1	1	1	1	0	5
escort_other_1---leisure_2	4	5	2	4	2	1	0	2	0	0	0	0	2
escort_other_1---leisure_4	1	1	1	0	0	0	0	0	0	0	0	0	0
escort_other_1---remote_home_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---remote_work_1	1	1	1	0	0	0	0	0	0	0	0	1	0
escort_other_1---remote_work_2	0	0	0	1	0	0	1	0	0	0	0	0	0
escort_other_1---shop_1	28	19	10	7	7	5	0	4	1	2	1	1	5
escort_other_1---shop_2	0	5	2	2	0	1	1	0	0	1	0	0	0
escort_other_1---shop_3	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_other_1---shop_4	1	2	0	0	0	0	0	0	0	0	0	0	0
