pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
AVPickup---AVDropoff	759	322	193	152	90	39	41	22	19	12	15	5	25
AVStay---AVPickup	996	313	171	106	52	23	8	7	7	3	0	2	6
education_1---education_2	23	0	0	0	0	0	0	0	0	0	1	0	0
education_1---escort_kids_2	0	0	0	0	2	0	0	0	0	0	0	0	0
education_1---escort_other_1	1	3	2	0	1	0	0	0	0	0	0	0	0
education_1---escort_other_2	2	0	0	0	0	0	0	0	0	0	0	0	0
education_1---home_1	57	68	37	29	28	29	23	22	21	19	15	22	24
education_1---home_2	215	201	107	74	58	48	54	38	43	22	25	19	48
education_1---home_3	3	1	2	0	1	0	0	2	0	1	0	0	0
education_1---leisure_1	66	35	21	13	10	7	7	12	9	6	3	1	2
education_1---leisure_2	0	2	0	0	1	0	1	2	1	0	0	0	0
education_1---leisure_3	0	2	0	0	0	0	0	0	0	0	0	0	0
education_1---remote_home_1	5	3	3	0	0	0	0	1	0	0	1	0	0
education_1---remote_work_1	0	0	0	0	0	1	0	0	0	0	0	0	0
education_1---shop_1	29	20	9	8	5	6	6	7	4	0	6	1	3
education_1---shop_2	0	0	0	2	0	0	0	2	0	0	0	0	0
education_1---work_1	0	0	0	1	1	1	0	0	0	1	1	0	2
education_1---work_2	0	1	1	0	1	1	1	0	1	1	0	0	2
education_2---education_3	15	0	0	0	0	0	0	0	0	0	1	0	0
education_2---escort_kids_1	0	0	1	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_other_1	0	2	1	1	2	0	0	0	0	0	0	0	0
education_2---escort_other_2	0	0	0	0	0	0	0	0	0	1	0	0	0
education_2---home_1	82	86	36	33	29	21	18	17	11	11	11	9	23
education_2---home_2	6	6	3	5	3	3	2	3	2	1	1	4	2
education_2---home_3	53	41	24	21	11	4	10	16	4	2	2	2	13
education_2---home_4	0	0	0	0	0	0	0	0	0	0	0	0	1
education_2---leisure_1	21	20	6	5	4	2	5	5	2	1	0	0	1
education_2---leisure_2	6	5	1	1	2	1	0	0	4	0	2	1	0
education_2---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
education_2---remote_home_1	0	1	0	0	1	0	0	0	0	0	1	0	0
education_2---remote_home_2	1	0	2	0	0	0	0	0	0	0	0	0	0
education_2---remote_work_1	0	2	0	0	0	0	0	0	0	0	0	0	0
education_2---shop_1	7	5	2	2	0	2	1	0	0	0	0	0	0
education_2---shop_2	2	1	0	0	0	0	1	0	1	0	0	1	0
education_2---work_1	0	0	0	0	0	0	0	1	0	0	0	1	2
education_2---work_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---education_4	2	0	0	0	0	0	0	0	0	0	0	0	0
education_3---escort_kids_1	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---home_1	12	4	4	1	1	3	0	1	0	0	0	0	1
education_3---home_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---home_3	1	1	0	1	0	1	0	0	0	0	0	0	0
education_3---leisure_1	0	0	1	1	0	0	0	0	0	1	1	0	0
education_3---remote_home_2	0	0	0	0	0	0	0	1	0	0	0	0	0
education_4---home_2	0	0	0	0	0	0	0	2	0	0	0	0	0
escort_kids_1---education_1	0	1	0	1	0	0	1	0	0	0	1	0	0
escort_kids_1---education_2	0	1	0	0	0	0	1	0	0	0	0	0	0
escort_kids_1---escort_kids_2	2	3	1	0	0	1	0	1	0	0	1	0	1
escort_kids_1---escort_other_1	6	6	1	2	0	0	0	0	0	0	0	0	0
escort_kids_1---escort_other_2	2	1	0	0	0	0	0	0	0	0	0	0	0
escort_kids_1---home_1	40	25	16	5	3	0	2	5	0	3	1	0	1
escort_kids_1---home_2	49	26	8	3	1	2	1	1	0	2	3	0	2
escort_kids_1---home_3	12	6	6	2	3	0	0	0	1	2	0	0	0
escort_kids_1---home_4	0	0	1	1	0	0	0	0	0	0	0	0	0
escort_kids_1---leisure_1	15	8	4	3	1	0	0	0	0	0	0	1	1
escort_kids_1---leisure_2	3	2	1	0	2	1	1	0	0	0	1	2	0
escort_kids_1---leisure_3	1	0	1	0	0	0	0	0	0	0	0	0	0
escort_kids_1---shop_1	19	10	9	0	1	3	2	2	4	0	0	0	1
escort_kids_1---shop_2	4	2	0	0	1	0	1	0	0	0	0	0	0
escort_kids_1---shop_3	0	1	1	0	0	0	0	0	0	0	0	0	0
escort_kids_1---work_1	7	5	10	9	5	10	2	3	3	4	1	6	4
escort_kids_1---work_2	1	2	2	0	0	0	0	0	0	0	0	0	1
escort_kids_2---escort_other_1	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---home_1	23	10	12	5	4	5	6	3	2	0	0	0	0
escort_kids_2---home_2	1	3	3	3	0	0	0	0	0	0	0	0	0
escort_kids_2---home_3	7	16	3	0	1	0	1	1	0	0	0	0	0
escort_kids_2---home_4	2	3	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---leisure_1	3	1	1	0	0	0	2	1	0	1	0	0	0
escort_kids_2---leisure_2	2	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---shop_1	4	2	2	1	1	0	1	0	0	0	0	0	0
escort_kids_2---shop_2	0	0	1	0	0	1	0	0	0	0	0	0	0
escort_kids_2---work_1	0	0	0	0	0	0	0	0	0	0	0	0	1
escort_kids_2---work_2	1	1	1	1	0	0	0	0	0	0	0	0	0
escort_kids_3---escort_kids_4	0	0	0	0	0	1	0	0	0	0	0	0	0
escort_kids_3---home_1	2	1	1	1	0	1	1	0	1	0	0	0	1
escort_kids_3---home_2	0	0	0	0	1	0	0	0	0	0	0	0	1
escort_kids_3---home_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_3---home_4	4	0	0	1	0	0	0	0	0	0	0	0	0
escort_kids_3---leisure_1	1	0	0	0	0	0	0	0	1	0	0	0	0
escort_kids_3---leisure_2	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_kids_3---leisure_3	0	0	0	0	0	0	0	0	1	0	0	0	0
escort_kids_3---shop_1	2	0	0	0	1	0	0	0	0	0	0	0	0
escort_kids_3---work_2	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_4---home_1	5	2	2	0	1	0	0	0	0	0	0	0	0
escort_kids_4---shop_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---education_1	7	3	0	1	1	1	2	0	1	0	0	0	0
escort_other_1---education_2	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_1	1	2	0	1	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_2	5	2	2	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_other_2	0	1	0	0	0	0	1	0	1	1	1	3	0
escort_other_1---home_1	52	46	28	18	20	12	9	5	5	1	2	2	9
escort_other_1---home_2	33	15	11	10	4	3	4	0	0	2	0	0	5
escort_other_1---home_3	6	4	3	6	0	1	1	0	1	0	0	0	1
escort_other_1---home_4	7	1	1	0	2	0	0	0	0	0	0	0	1
escort_other_1---leisure_1	25	21	8	7	9	4	2	4	0	1	0	0	3
escort_other_1---leisure_2	3	5	5	1	2	3	1	1	0	0	0	0	1
escort_other_1---leisure_4	1	2	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---remote_home_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---remote_work_1	1	1	1	0	0	0	0	0	0	1	0	0	0
escort_other_1---remote_work_2	0	0	1	0	0	0	1	0	0	0	0	0	0
escort_other_1---shop_1	26	20	13	4	8	6	3	5	1	2	1	0	1
escort_other_1---shop_2	0	5	2	0	0	0	2	1	0	1	0	1	0
escort_other_1---shop_3	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_other_1---shop_4	1	2	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---work_1	10	9	9	7	3	3	3	3	4	3	1	1	3
escort_other_1---work_2	1	0	0	0	0	0	0	1	0	0	0	0	1
escort_other_1---work_3	0	0	0	0	0	1	0	0	0	0	0	0	0
escort_other_2---escort_kids_1	3	0	0	1	0	0	0	0	0	0	0	0	0
escort_other_2---escort_other_3	0	0	0	0	0	0	1	0	0	0	0	0	0
escort_other_2---home_1	44	17	8	7	3	3	2	3	0	0	1	1	0
escort_other_2---home_2	6	7	1	0	0	1	0	0	0	2	0	0	0
escort_other_2---home_3	3	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---home_4	3	3	0	0	0	0	0	1	0	0	0	0	0
escort_other_2---leisure_1	0	1	0	1	0	0	0	0	0	0	0	0	0
escort_other_2---leisure_2	1	1	2	1	0	0	0	0	0	0	0	0	0
escort_other_2---remote_home_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---shop_1	8	2	0	1	1	2	1	1	0	0	0	0	0
escort_other_2---shop_2	5	2	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---work_2	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_other_2---work_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---home_1	4	2	0	1	0	2	0	0	0	0	0	1	0
escort_other_3---home_3	1	0	1	1	0	0	0	0	0	0	0	0	0
escort_other_3---home_4	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---home_5	0	0	0	0	0	1	0	0	0	0	0	0	0
escort_other_3---leisure_3	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---shop_1	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_other_4---home_1	3	2	1	0	0	0	0	0	0	0	0	0	0
home_1---education_1	305	283	165	102	99	80	93	81	71	47	44	59	106
home_1---escort_kids_1	87	59	28	10	15	9	12	8	2	6	4	1	4
home_1---escort_other_1	90	40	35	30	17	16	6	6	4	3	4	4	13
home_1---home_1	44	0	1	1	0	0	0	0	0	1	0	0	1
home_1---home_2	26	0	0	0	0	0	0	0	0	0	0	0	0
home_1---leisure_1	479	388	222	167	137	117	79	87	48	41	47	50	87
home_1---remote_home_1	0	0	0	0	1	1	0	0	0	0	0	0	0
home_1---remote_work_1	42	39	28	25	13	14	12	14	7	10	12	12	14
home_1---shop_1	962	691	378	263	193	130	112	105	90	63	41	48	125
home_1---work_1	447	558	546	468	391	363	233	232	214	206	232	383	302
home_2---education_1	8	9	1	7	9	5	3	6	3	4	1	1	1
home_2---education_2	148	135	71	48	40	22	25	30	12	8	5	4	32
home_2---education_3	1	3	0	0	0	0	0	0	0	0	0	0	1
home_2---escort_kids_1	39	25	15	7	3	2	0	1	0	3	0	2	1
home_2---escort_kids_2	14	18	11	1	1	1	2	4	2	0	0	1	0
home_2---escort_kids_3	1	1	1	0	0	1	0	0	0	0	0	0	0
home_2---escort_other_1	34	26	19	14	3	7	6	1	7	1	0	1	1
home_2---escort_other_2	10	5	3	0	2	1	1	1	1	1	0	0	0
home_2---escort_other_3	0	0	0	1	0	0	0	0	0	0	0	0	0
home_2---home_1	29	0	0	0	0	1	0	0	0	0	0	0	0
home_2---home_3	9	0	0	0	0	0	0	0	0	0	0	0	0
home_2---leisure_1	382	283	140	108	80	55	42	42	42	21	20	24	38
home_2---leisure_2	180	102	62	49	22	20	13	14	7	9	8	5	11
home_2---leisure_3	34	11	9	11	4	2	5	2	1	1	1	1	1
home_2---leisure_4	2	3	3	2	1	1	0	1	0	1	1	0	0
home_2---remote_home_1	1	3	1	1	1	0	1	0	0	0	0	0	0
home_2---remote_work_1	13	14	4	9	10	2	3	5	1	1	0	2	2
home_2---remote_work_2	6	9	7	6	5	0	1	5	1	0	0	1	2
home_2---remote_work_3	0	1	1	2	0	0	0	0	0	0	0	0	0
home_2---remote_work_4	0	0	0	1	0	0	0	0	0	0	0	0	0
home_2---remote_work_5	0	3	0	1	0	0	0	0	0	0	0	0	0
home_2---shop_1	264	140	76	54	34	23	22	11	10	7	6	10	20
home_2---shop_2	109	69	42	28	19	19	8	8	8	8	3	3	8
home_2---shop_3	33	17	7	6	5	2	2	1	0	0	1	0	2
home_2---shop_4	0	0	0	0	0	1	0	0	0	0	0	0	0
home_2---shop_7	1	0	0	0	0	0	0	0	0	0	0	0	0
home_2---work_1	29	26	17	19	13	7	13	9	7	12	4	15	10
home_2---work_2	150	185	134	95	73	64	44	35	20	15	13	8	29
home_2---work_3	4	14	8	11	6	6	1	0	0	2	0	1	2
home_2---work_4	5	1	1	1	1	0	0	0	0	0	0	0	0
home_3---education_1	2	4	0	0	1	0	0	0	0	0	0	1	3
home_3---education_2	3	2	0	1	1	0	0	0	0	0	0	0	2
home_3---education_3	5	2	1	0	0	2	0	0	0	0	0	0	0
home_3---escort_kids_1	11	6	5	1	2	0	2	0	0	0	0	0	0
home_3---escort_kids_2	10	6	2	4	0	0	0	0	0	0	0	0	0
home_3---escort_kids_3	5	1	3	0	1	0	0	0	0	0	0	0	0
home_3---escort_other_1	20	20	6	2	1	1	1	2	0	0	0	1	3
home_3---escort_other_2	12	7	3	2	0	0	0	0	1	0	0	0	1
home_3---escort_other_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_3---escort_other_4	1	1	1	0	0	0	0	0	0	0	0	0	0
home_3---home_1	12	1	0	0	0	0	0	0	0	0	0	0	0
home_3---home_4	1	0	0	0	0	0	0	1	0	0	0	0	0
home_3---leisure_1	174	86	51	32	23	26	8	13	2	1	4	3	8
home_3---leisure_2	78	38	19	14	9	6	6	7	4	2	2	2	4
home_3---leisure_3	23	14	5	5	3	1	3	1	0	2	1	1	3
home_3---leisure_4	2	1	1	0	0	0	0	0	0	0	0	0	0
home_3---remote_work_1	5	3	0	0	1	0	0	0	0	0	0	0	0
home_3---remote_work_2	0	1	0	1	0	0	0	0	0	0	0	0	0
home_3---remote_work_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_3---shop_1	51	32	13	8	6	4	1	0	1	2	2	1	2
home_3---shop_2	8	10	2	2	0	1	2	0	1	0	0	0	1
home_3---shop_3	17	6	1	2	1	0	0	0	0	0	0	0	0
home_3---shop_4	0	0	0	1	0	0	0	0	0	0	0	0	0
home_3---work_1	2	1	3	2	3	2	0	1	3	0	0	0	2
home_3---work_2	5	9	10	5	5	4	2	1	3	1	0	0	3
home_3---work_3	1	4	3	12	9	1	2	3	0	0	0	0	0
home_3---work_4	1	0	0	0	1	0	0	0	0	0	0	0	0
home_4---education_1	0	0	1	1	0	0	0	0	0	0	1	0	0
home_4---escort_kids_1	0	1	0	0	0	0	0	0	0	0	0	0	0
home_4---escort_kids_2	1	1	1	0	0	0	0	0	0	0	0	0	0
home_4---escort_kids_3	0	0	0	0	0	0	1	0	0	0	0	0	0
home_4---escort_kids_4	4	0	0	0	1	0	0	0	0	0	0	0	0
home_4---escort_other_1	0	1	0	0	1	0	0	0	0	0	0	0	0
home_4---escort_other_2	5	1	0	0	0	0	0	0	0	0	0	0	0
home_4---escort_other_3	3	1	0	1	0	0	0	0	0	0	0	0	0
home_4---escort_other_4	0	0	0	1	0	0	0	0	0	0	0	0	0
home_4---leisure_1	10	8	2	4	0	0	3	0	0	0	0	1	0
home_4---leisure_2	13	4	3	1	2	2	0	0	0	0	0	2	2
home_4---leisure_3	5	6	1	2	1	1	0	0	0	0	0	0	0
home_4---leisure_4	4	0	0	2	0	0	1	0	0	0	0	0	1
home_4---leisure_5	0	0	0	0	0	0	1	0	0	0	0	0	0
home_4---remote_work_2	2	0	0	0	0	0	0	0	0	0	0	0	0
home_4---shop_1	0	0	0	1	0	0	0	0	0	0	0	0	0
home_4---shop_2	2	1	1	0	0	0	2	0	0	0	0	0	0
home_4---shop_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_4---work_2	0	0	0	1	0	0	0	0	0	0	0	0	0
home_4---work_3	0	2	2	1	1	0	0	0	0	0	0	0	0
home_4---work_4	0	1	1	4	1	3	1	0	1	1	1	0	0
home_5---escort_kids_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_5---escort_other_4	1	0	0	0	0	0	0	0	0	0	0	0	0
home_5---leisure_1	1	1	0	0	0	0	0	0	0	0	0	0	0
home_5---leisure_2	0	1	0	0	0	0	0	0	0	0	0	0	0
