pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
AVPickup---AVDropoff	661	311	166	121	81	41	38	22	22	13	14	11	67
AVStay---AVPickup	1050	295	125	43	23	13	7	6	3	0	0	0	3
education_1---education_2	23	1	0	0	0	0	0	0	0	0	0	0	0
education_1---escort_kids_2	0	0	0	0	2	0	0	0	0	0	0	0	0
education_1---escort_other_1	2	2	2	0	0	1	0	0	0	0	0	0	0
education_1---escort_other_2	2	0	0	0	0	0	0	0	0	0	0	0	0
education_1---home_1	62	57	55	32	29	22	23	16	22	19	14	23	20
education_1---home_2	212	212	112	69	62	43	55	42	31	22	20	18	54
education_1---home_3	4	1	1	0	2	0	0	1	0	1	0	0	0
education_1---leisure_1	70	45	21	13	10	5	4	10	8	4	0	1	1
education_1---leisure_2	2	1	0	0	0	1	1	0	1	0	1	0	0
education_1---leisure_3	0	2	0	0	0	0	0	0	0	0	0	0	0
education_1---remote_home_1	5	3	3	0	0	1	0	1	0	0	0	0	0
education_1---remote_work_1	0	0	0	0	0	1	0	0	0	0	0	0	0
education_1---shop_1	29	23	11	6	8	8	5	6	5	0	3	0	0
education_1---shop_2	0	0	0	3	0	0	0	1	0	0	0	0	0
education_1---work_1	0	0	0	1	1	0	0	0	1	2	0	0	2
education_1---work_2	1	1	1	0	1	2	1	0	0	1	0	0	1
education_2---education_3	15	1	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_1	0	0	0	1	0	0	0	0	0	0	0	0	0
education_2---escort_kids_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_other_1	2	1	0	0	1	0	1	0	0	1	0	0	0
education_2---escort_other_2	0	0	0	0	0	0	1	0	0	0	0	0	0
education_2---home_1	85	88	36	33	27	22	16	17	9	10	12	11	21
education_2---home_2	7	7	3	2	2	4	2	3	2	1	1	4	3
education_2---home_3	52	44	24	18	13	5	12	13	3	2	2	2	13
education_2---home_4	0	0	0	0	0	0	0	0	0	0	0	0	1
education_2---leisure_1	23	19	5	7	3	4	5	2	2	2	0	0	0
education_2---leisure_2	5	5	1	1	2	2	0	0	4	0	2	1	0
education_2---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
education_2---remote_home_1	0	1	0	0	1	0	0	0	0	0	1	0	0
education_2---remote_home_2	1	0	2	0	0	0	0	0	0	0	0	0	0
education_2---remote_work_1	1	1	0	0	0	0	0	0	0	0	0	0	0
education_2---shop_1	6	6	1	2	0	2	1	0	0	0	0	0	1
education_2---shop_2	1	1	0	1	0	1	0	0	1	0	0	1	0
education_2---work_1	0	0	0	0	0	0	0	2	0	0	0	0	2
education_2---work_2	0	0	0	1	0	0	0	0	0	0	0	0	0
education_3---education_4	2	0	0	0	0	0	0	0	0	0	0	0	0
education_3---escort_kids_1	1	0	0	0	0	0	0	0	0	0	0	0	0
education_3---home_1	10	5	5	1	1	2	0	2	0	0	0	0	1
education_3---home_2	0	1	0	0	0	0	0	0	0	0	0	0	0
education_3---home_3	1	1	0	1	0	1	0	0	0	0	0	0	0
education_3---leisure_1	0	1	0	0	1	0	0	0	0	1	1	0	0
education_3---remote_home_2	0	0	0	0	0	0	0	1	0	0	0	0	0
education_4---home_2	0	0	0	0	0	0	0	2	0	0	0	0	0
escort_kids_1---education_1	0	1	0	1	0	0	0	1	0	0	0	1	0
escort_kids_1---education_2	0	1	0	0	0	0	1	0	0	0	0	0	0
escort_kids_1---escort_kids_2	1	1	3	0	0	1	0	1	0	0	0	1	2
escort_kids_1---escort_other_1	9	4	1	1	0	0	0	0	0	0	0	0	0
escort_kids_1---escort_other_2	2	1	0	0	0	0	0	0	0	0	0	0	0
escort_kids_1---home_1	46	23	10	9	5	0	3	1	0	1	1	1	1
escort_kids_1---home_2	51	26	7	4	6	2	0	0	0	1	0	0	1
escort_kids_1---home_3	12	8	5	2	2	0	0	0	1	1	0	1	0
escort_kids_1---home_4	0	0	1	0	0	0	0	0	0	1	0	0	0
escort_kids_1---leisure_1	14	9	5	3	0	0	1	1	0	0	0	0	0
escort_kids_1---leisure_2	4	0	2	0	2	1	1	0	0	0	1	2	0
escort_kids_1---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_1---shop_1	21	12	9	4	0	2	1	1	1	0	0	0	0
escort_kids_1---shop_2	5	0	1	0	1	0	1	0	0	0	0	0	0
escort_kids_1---shop_3	0	1	0	1	0	0	0	0	0	0	0	0	0
escort_kids_1---work_1	3	12	12	7	4	5	5	4	2	5	2	6	2
escort_kids_1---work_2	2	2	1	0	0	1	0	0	0	0	0	0	0
escort_kids_2---escort_other_1	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---home_1	22	12	13	11	3	3	3	1	1	1	0	0	0
escort_kids_2---home_2	2	4	1	1	0	1	0	1	0	0	0	0	0
escort_kids_2---home_3	8	15	2	0	1	1	1	1	0	0	0	0	0
escort_kids_2---home_4	2	3	0	0	0	0	0	0	0	0	0	0	0
escort_kids_2---leisure_1	4	1	1	0	1	0	1	1	0	0	0	0	0
escort_kids_2---leisure_2	1	0	1	0	0	0	0	0	0	0	0	0	0
escort_kids_2---shop_1	5	1	4	0	0	0	0	1	0	0	0	0	0
escort_kids_2---shop_2	0	1	0	0	0	1	0	0	0	0	0	0	0
escort_kids_2---work_1	0	0	0	0	0	0	0	0	0	0	0	0	1
escort_kids_2---work_2	0	3	0	0	0	0	0	0	0	0	1	0	0
escort_kids_3---escort_kids_4	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_3---home_1	2	1	0	2	0	0	0	0	1	0	1	0	2
escort_kids_3---home_2	0	0	0	0	1	0	0	0	0	1	0	0	0
escort_kids_3---home_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_3---home_4	4	0	0	1	0	0	0	0	0	0	0	0	0
escort_kids_3---leisure_1	1	0	0	0	0	0	0	0	1	0	0	0	0
escort_kids_3---leisure_2	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_kids_3---leisure_3	0	0	0	0	0	0	0	0	1	0	0	0	0
escort_kids_3---shop_1	2	0	1	0	0	0	0	0	0	0	0	0	0
escort_kids_3---work_2	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_kids_4---home_1	5	3	1	0	1	0	0	0	0	0	0	0	0
escort_kids_4---shop_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---education_1	9	3	1	0	0	1	0	0	1	0	0	0	1
escort_other_1---education_2	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_1	1	2	1	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_2	5	3	1	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_kids_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---escort_other_2	0	0	0	0	0	0	2	0	0	1	2	3	0
escort_other_1---home_1	64	46	28	20	9	13	5	10	3	1	4	2	4
escort_other_1---home_2	30	19	13	10	5	2	2	0	1	0	0	1	4
escort_other_1---home_3	5	3	2	6	4	1	0	1	0	0	0	0	1
escort_other_1---home_4	6	2	3	1	0	0	0	0	0	0	0	0	0
escort_other_1---leisure_1	27	22	8	7	12	1	0	3	1	0	0	1	2
escort_other_1---leisure_2	3	5	3	2	3	1	2	1	0	0	1	1	0
escort_other_1---leisure_4	2	0	1	0	0	0	0	0	0	0	0	0	0
escort_other_1---remote_home_1	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---remote_work_1	1	1	1	0	0	0	1	0	0	0	0	0	0
escort_other_1---remote_work_2	0	0	0	0	1	0	1	0	0	0	0	0	0
escort_other_1---shop_1	27	22	15	7	7	4	1	3	1	1	1	0	1
escort_other_1---shop_2	1	4	2	1	2	0	1	0	0	0	0	1	0
escort_other_1---shop_3	0	0	0	0	0	1	0	0	0	0	0	0	0
escort_other_1---shop_4	0	2	0	0	1	0	0	0	0	0	0	0	0
escort_other_1---work_1	11	13	5	3	7	1	3	5	2	0	0	2	7
escort_other_1---work_2	2	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_1---work_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---escort_kids_1	3	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---escort_other_3	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_other_2---home_1	46	18	6	7	2	1	4	0	2	1	1	1	0
escort_other_2---home_2	6	6	2	2	0	0	0	0	1	0	0	0	0
escort_other_2---home_3	3	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---home_4	3	3	0	0	0	0	0	0	0	0	0	0	1
escort_other_2---leisure_1	0	1	0	0	1	0	0	0	0	0	0	0	0
escort_other_2---leisure_2	1	0	3	0	1	0	0	0	0	0	0	0	0
escort_other_2---remote_home_1	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_2---shop_1	8	2	1	1	0	1	0	2	0	0	0	0	1
escort_other_2---shop_2	5	1	0	0	0	1	0	0	0	0	0	0	0
escort_other_2---work_2	0	0	1	0	0	0	0	0	0	0	0	0	0
escort_other_2---work_3	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---home_1	3	3	0	1	1	1	0	0	0	0	0	1	0
escort_other_3---home_3	1	0	1	0	0	0	0	0	0	0	0	0	1
escort_other_3---home_4	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---home_5	1	0	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---leisure_3	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_3---shop_1	0	1	0	0	0	0	0	0	0	0	0	0	0
escort_other_4---home_1	1	2	1	2	0	0	0	0	0	0	0	0	0
home_1---education_1	299	301	181	109	100	84	95	80	61	46	42	55	82
home_1---escort_kids_1	88	62	33	15	14	10	7	4	1	9	0	1	1
home_1---escort_other_1	89	56	32	22	22	18	7	5	5	1	3	3	5
home_1---home_1	47	0	1	0	0	0	0	0	0	0	0	0	0
home_1---home_2	26	0	0	0	0	0	0	0	0	0	0	0	0
home_1---leisure_1	512	402	234	168	116	134	83	84	48	28	41	29	70
home_1---remote_home_1	0	0	0	0	1	1	0	0	0	0	0	0	0
home_1---remote_work_1	37	40	45	30	18	9	13	7	8	11	8	8	8
home_1---shop_1	1011	777	386	268	201	132	106	80	69	44	28	40	59
home_1---work_1	448	559	582	455	392	347	266	251	189	209	216	376	285
home_2---education_1	11	7	2	6	6	3	4	5	6	3	1	2	2
home_2---education_2	150	139	69	42	39	23	25	27	11	9	7	6	33
home_2---education_3	2	2	0	0	0	0	0	0	0	0	0	0	1
home_2---escort_kids_1	37	27	14	8	4	0	1	1	1	2	2	1	0
home_2---escort_kids_2	17	15	10	1	2	3	2	1	0	0	3	1	0
home_2---escort_kids_3	1	2	0	0	0	0	0	0	1	0	0	0	0
home_2---escort_other_1	38	24	20	8	5	6	9	1	3	3	0	0	3
home_2---escort_other_2	10	6	3	2	1	2	0	1	0	0	0	0	0
home_2---escort_other_3	0	0	0	1	0	0	0	0	0	0	0	0	0
home_2---home_1	30	0	0	0	0	0	0	0	0	0	0	0	0
home_2---home_3	9	0	0	0	0	0	0	0	0	0	0	0	0
home_2---leisure_1	395	280	157	110	72	69	37	47	30	16	17	19	28
home_2---leisure_2	178	117	61	32	24	18	20	15	4	6	6	6	15
home_2---leisure_3	32	17	9	5	1	6	5	3	3	1	0	1	0
home_2---leisure_4	6	3	2	0	1	1	0	0	1	0	1	0	0
home_2---remote_home_1	1	3	1	1	1	0	1	0	0	0	0	0	0
home_2---remote_work_1	12	12	7	10	8	5	3	4	1	1	1	2	0
home_2---remote_work_2	5	7	8	7	2	3	0	5	2	1	0	0	3
home_2---remote_work_3	0	1	1	1	1	0	0	0	0	0	0	0	0
home_2---remote_work_4	0	0	0	1	0	0	0	0	0	0	0	0	0
home_2---remote_work_5	0	1	1	2	0	0	0	0	0	0	0	0	0
home_2---shop_1	258	150	76	66	37	19	20	17	11	2	8	5	8
home_2---shop_2	107	80	44	28	17	20	7	6	10	1	2	2	8
home_2---shop_3	36	19	11	3	3	0	2	0	0	0	1	0	1
home_2---shop_4	0	0	0	0	0	0	1	0	0	0	0	0	0
home_2---shop_7	1	0	0	0	0	0	0	0	0	0	0	0	0
home_2---work_1	34	17	20	24	13	11	10	10	9	9	4	14	6
home_2---work_2	144	187	150	89	86	51	37	29	25	17	14	8	28
home_2---work_3	7	12	7	13	7	6	0	0	0	0	0	2	1
home_2---work_4	4	1	0	1	2	0	1	0	0	0	0	0	0
home_3---education_1	0	4	2	0	0	1	0	0	0	0	0	1	3
home_3---education_2	3	2	1	0	0	0	0	1	0	0	0	0	2
home_3---education_3	4	3	1	0	0	2	0	0	0	0	0	0	0
home_3---escort_kids_1	11	7	4	3	0	0	1	0	0	1	0	0	0
home_3---escort_kids_2	9	7	3	2	1	0	0	0	0	0	0	0	0
home_3---escort_kids_3	5	2	1	2	0	0	0	0	0	0	0	0	0
home_3---escort_other_1	23	16	8	4	2	1	1	1	0	0	0	0	1
home_3---escort_other_2	12	7	4	1	1	0	0	0	0	0	0	0	1
home_3---escort_other_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_3---escort_other_4	1	2	0	0	0	0	0	0	0	0	0	0	0
home_3---home_1	13	0	0	0	0	0	0	0	0	0	0	0	0
home_3---home_4	1	1	0	0	0	0	0	0	0	0	0	0	0
home_3---leisure_1	175	94	45	37	22	21	9	11	6	2	2	1	5
home_3---leisure_2	79	43	22	16	9	6	1	7	1	2	2	1	2
home_3---leisure_3	20	14	6	6	1	3	3	2	1	2	1	0	3
home_3---leisure_4	2	1	0	0	0	1	0	0	0	0	0	0	0
home_3---remote_work_1	5	2	1	0	1	0	0	0	0	0	0	0	0
home_3---remote_work_2	1	0	1	0	0	0	0	0	0	0	0	0	0
home_3---remote_work_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_3---shop_1	52	33	16	5	3	5	1	0	2	1	1	1	3
home_3---shop_2	9	7	3	5	0	1	1	0	1	0	0	0	0
home_3---shop_3	16	7	2	1	0	0	0	0	0	1	0	0	0
home_3---shop_4	0	0	0	1	0	0	0	0	0	0	0	0	0
home_3---work_1	2	1	3	2	1	2	0	1	3	1	0	1	2
home_3---work_2	4	10	9	6	5	3	2	1	3	1	1	0	3
home_3---work_3	3	2	5	11	8	1	2	3	0	0	0	0	0
home_3---work_4	1	0	0	0	1	0	0	0	0	0	0	0	0
home_4---education_1	0	0	1	0	0	1	0	0	0	0	1	0	0
home_4---escort_kids_1	0	1	0	0	0	0	0	0	0	0	0	0	0
home_4---escort_kids_2	1	1	1	0	0	0	0	0	0	0	0	0	0
home_4---escort_kids_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_4---escort_kids_4	4	0	0	0	1	0	0	0	0	0	0	0	0
home_4---escort_other_1	0	1	0	1	0	0	0	0	0	0	0	0	0
home_4---escort_other_2	5	1	0	0	0	0	0	0	0	0	0	0	0
home_4---escort_other_3	4	0	0	1	0	0	0	0	0	0	0	0	0
home_4---escort_other_4	0	0	0	1	0	0	0	0	0	0	0	0	0
home_4---leisure_1	10	7	2	4	1	2	1	0	0	0	0	1	0
home_4---leisure_2	15	4	2	3	0	2	1	0	0	0	0	1	1
home_4---leisure_3	6	6	1	1	0	1	0	1	0	0	0	0	0
home_4---leisure_4	5	1	1	1	0	0	0	0	0	0	0	0	0
home_4---leisure_5	0	0	0	0	1	0	0	0	0	0	0	0	0
home_4---remote_work_2	2	0	0	0	0	0	0	0	0	0	0	0	0
home_4---shop_1	0	1	0	0	0	0	0	0	0	0	0	0	0
home_4---shop_2	2	1	1	0	0	1	1	0	0	0	0	0	0
home_4---shop_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_4---work_2	0	0	0	1	0	0	0	0	0	0	0	0	0
home_4---work_3	0	2	2	1	1	0	0	0	0	0	0	0	0
home_4---work_4	1	0	2	3	1	3	1	0	0	1	1	0	1
home_5---escort_kids_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_5---escort_other_4	1	0	0	0	0	0	0	0	0	0	0	0	0
home_5---leisure_1	1	1	0	0	0	0	0	0	0	0	0	0	0
home_5---leisure_2	0	1	0	0	0	0	0	0	0	0	0	0	0
home_5---leisure_4	1	0	1	0	0	0	0	0	0	0	0	0	0
home_5---leisure_5	0	1	0	1	0	0	0	0	0	0	0	0	0
home_5---shop_2	1	0	0	0	0	0	0	0	0	0	0	0	0
home_5---work_3	0	0	0	0	1	0	0	0	0	0	0	0	0
leisure_1---education_1	7	7	1	1	1	2	1	0	0	0	0	0	0
leisure_1---education_2	53	30	9	11	6	2	1	3	1	3	0	0	0
leisure_1---education_3	1	1	0	1	0	0	0	0	0	0	0	0	0
leisure_1---escort_kids_1	5	4	3	1	0	0	1	0	0	0	0	0	0
leisure_1---escort_kids_2	2	0	0	0	1	0	0	0	0	0	0	0	1
leisure_1---escort_kids_3	0	1	1	0	0	0	0	0	0	0	0	0	0
leisure_1---escort_kids_4	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_1---escort_other_1	14	9	7	4	4	1	4	2	3	0	0	0	1
leisure_1---escort_other_2	10	11	7	2	1	0	1	0	0	0	0	1	2
leisure_1---escort_other_3	0	1	0	0	0	0	0	0	0	0	0	0	0
leisure_1---home_1	829	665	381	222	175	156	101	98	68	41	47	50	81
leisure_1---home_2	225	148	67	47	26	20	16	8	9	7	7	3	8
leisure_1---home_3	70	37	20	12	4	6	8	6	2	3	1	3	3
leisure_1---home_4	8	4	2	0	1	1	0	0	0	0	0	0	0
leisure_1---home_5	2	0	0	1	0	0	0	0	0	0	0	0	0
leisure_1---leisure_2	118	112	48	49	31	18	22	10	11	10	12	9	12
leisure_1---remote_home_1	0	1	1	0	0	0	0	0	0	0	0	0	0
leisure_1---remote_work_1	8	1	1	3	6	4	1	2	3	3	1	0	1
leisure_1---remote_work_2	16	7	3	0	4	2	1	0	1	0	0	0	1
leisure_1---remote_work_3	0	0	1	0	1	0	1	0	0	0	0	0	1
leisure_1---shop_1	180	127	44	40	22	18	12	13	7	6	2	0	7
leisure_1---shop_2	30	31	9	14	6	9	6	3	3	1	0	1	2
leisure_1---shop_3	8	4	6	0	0	1	0	1	0	0	0	0	0
leisure_1---shop_4	0	0	0	1	0	0	0	0	0	0	1	0	1
leisure_1---shop_5	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_1---work_1	14	19	17	10	8	8	6	2	2	5	3	0	2
leisure_1---work_2	352	128	45	25	19	14	6	6	8	2	0	1	3
leisure_1---work_3	14	5	2	3	0	1	0	0	0	0	0	0	0
leisure_1---work_4	0	1	0	0	2	0	0	0	0	0	0	0	0
leisure_2---education_1	0	3	0	0	0	0	0	0	0	0	0	0	1
leisure_2---education_2	2	0	0	0	0	0	0	1	0	0	0	0	0
leisure_2---escort_kids_1	2	2	0	0	0	0	1	1	1	0	0	0	0
leisure_2---escort_kids_2	0	0	0	0	0	0	1	0	0	0	0	0	0
leisure_2---escort_kids_3	0	1	1	0	0	0	0	0	0	0	0	0	0
leisure_2---escort_kids_4	0	1	0	0	0	0	0	0	0	0	0	0	0
leisure_2---escort_other_1	9	2	0	0	0	2	0	0	1	1	0	0	0
leisure_2---escort_other_2	1	2	3	2	2	0	0	0	1	0	0	0	0
leisure_2---escort_other_3	0	1	0	1	0	1	0	0	0	0	0	0	0
leisure_2---home_1	320	211	125	86	71	41	31	30	22	21	23	21	30
leisure_2---home_2	21	19	4	6	8	4	9	5	2	2	0	0	0
leisure_2---home_3	26	14	4	6	2	2	2	5	0	1	2	0	1
leisure_2---home_4	9	1	4	0	0	0	0	0	0	0	0	0	0
leisure_2---home_5	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_2---leisure_3	59	26	14	15	8	6	5	4	2	3	5	3	4
leisure_2---remote_home_1	1	0	1	1	0	0	1	0	0	0	0	0	0
leisure_2---remote_work_1	0	2	1	0	1	0	0	0	0	0	0	0	1
leisure_2---remote_work_2	1	1	1	0	0	1	1	0	1	0	0	0	0
leisure_2---remote_work_3	1	2	1	0	0	0	0	0	0	0	0	0	0
leisure_2---shop_1	26	18	3	6	6	2	3	2	2	3	2	0	2
leisure_2---shop_2	8	10	3	0	3	0	1	0	0	0	0	0	0
leisure_2---shop_3	5	1	1	1	1	0	0	3	0	1	0	1	0
leisure_2---shop_4	2	2	0	0	0	0	0	0	0	0	0	0	0
leisure_2---shop_5	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_2---work_1	2	0	1	0	0	0	0	0	0	0	0	0	0
leisure_2---work_2	13	6	3	1	0	0	0	1	0	1	0	0	1
leisure_2---work_3	7	7	0	0	0	0	0	1	0	0	0	0	0
leisure_2---work_4	1	1	0	0	0	0	0	0	0	0	0	0	0
leisure_3---escort_kids_1	1	0	1	0	0	0	2	0	1	0	0	0	0
leisure_3---escort_other_1	3	1	0	1	1	0	1	1	0	0	0	0	0
leisure_3---escort_other_2	0	1	0	0	0	0	0	0	0	0	0	0	0
leisure_3---escort_other_4	0	0	1	0	0	0	0	0	0	0	0	0	0
leisure_3---home_1	91	58	30	25	10	14	13	7	4	3	2	5	3
leisure_3---home_2	0	0	3	0	1	1	1	0	0	0	1	0	0
leisure_3---home_3	3	2	1	0	0	0	0	0	0	0	0	0	0
leisure_3---home_4	4	2	0	0	1	0	0	0	0	1	0	0	1
leisure_3---home_5	0	0	0	0	1	1	0	0	0	0	0	0	0
leisure_3---leisure_4	15	6	0	2	2	0	1	0	0	0	0	0	0
leisure_3---remote_home_1	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_3---shop_1	5	4	2	1	0	1	0	0	1	0	0	0	0
leisure_3---shop_2	1	1	0	1	0	0	0	0	0	0	0	0	0
leisure_3---shop_3	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_3---shop_5	0	2	0	0	0	0	0	0	0	0	0	0	0
leisure_3---work_1	0	3	1	2	0	0	1	0	0	0	0	0	0
leisure_4---escort_other_1	0	1	1	0	0	0	0	0	0	0	0	0	0
leisure_4---home_1	17	7	12	2	2	1	1	0	0	1	2	0	3
leisure_4---home_4	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_4---home_5	0	1	0	0	0	0	1	0	0	0	0	0	0
leisure_4---leisure_5	2	0	0	0	0	0	0	0	0	0	0	0	0
leisure_4---shop_1	1	0	0	0	0	1	1	0	1	0	0	0	0
leisure_5---home_1	1	1	0	1	0	1	0	0	0	0	0	0	1
remote_home_1---education_2	4	3	1	0	0	0	0	1	0	0	0	0	0
remote_home_1---education_3	0	0	0	0	1	0	0	0	0	0	0	0	0
remote_home_1---home_1	4	4	1	5	4	3	1	0	0	1	0	0	0
remote_home_1---home_2	0	1	2	0	0	0	0	0	0	0	0	0	0
remote_home_1---home_3	0	1	0	0	0	0	0	0	0	0	0	0	0
remote_home_1---leisure_1	1	0	1	0	0	0	1	1	0	0	1	0	0
remote_home_1---leisure_2	1	0	0	0	0	0	0	0	0	0	0	0	0
remote_home_1---leisure_3	1	0	0	0	0	0	0	0	0	0	0	0	0
remote_home_1---remote_work_2	0	0	0	0	0	1	0	0	0	0	0	0	0
remote_home_1---shop_1	0	0	0	0	0	0	0	0	0	0	1	0	0
remote_home_2---home_2	1	1	1	0	0	0	0	0	0	0	0	0	0
remote_home_2---leisure_2	0	0	0	0	1	0	0	0	0	0	0	0	0
remote_work_1---education_1	0	0	0	0	0	0	1	1	0	0	0	0	0
remote_work_1---escort_kids_2	1	0	0	0	0	0	0	0	0	0	0	0	0
remote_work_1---escort_kids_3	0	1	1	0	0	0	0	0	0	0	0	0	0
remote_work_1---escort_other_1	2	0	0	0	0	0	1	1	0	0	1	0	0
remote_work_1---escort_other_2	0	0	0	0	0	1	0	0	0	0	0	0	0
remote_work_1---home_1	32	31	15	16	8	8	5	8	1	7	3	7	5
remote_work_1---home_2	29	15	12	4	6	5	1	5	4	1	1	2	3
remote_work_1---home_3	2	1	1	2	2	0	2	1	1	1	1	0	0
remote_work_1---leisure_1	19	17	6	6	6	0	4	2	0	0	0	0	2
remote_work_1---leisure_2	5	1	1	0	0	2	0	0	0	0	0	1	0
remote_work_1---remote_work_2	16	18	19	15	6	5	6	4	1	3	1	2	2
remote_work_1---shop_1	23	8	6	1	1	3	2	1	1	2	0	1	1
remote_work_1---shop_2	2	2	0	0	0	0	0	0	0	0	0	0	0
remote_work_1---work_1	8	15	7	4	5	2	5	2	1	1	0	3	3
remote_work_1---work_2	27	29	24	13	9	10	11	4	2	1	1	1	0
remote_work_1---work_3	7	2	1	0	0	1	0	1	1	0	1	0	0
remote_work_1---work_4	0	0	0	0	0	0	1	0	0	0	0	0	0
remote_work_2---escort_kids_1	0	0	0	0	0	0	0	1	0	0	0	0	0
remote_work_2---escort_kids_2	0	0	0	0	1	0	0	0	0	0	0	0	1
remote_work_2---escort_other_1	1	0	0	0	0	0	0	0	0	0	0	0	0
remote_work_2---home_1	8	6	7	4	11	5	3	8	2	0	1	1	3
remote_work_2---home_2	3	5	9	2	2	6	1	3	2	0	0	1	0
remote_work_2---home_3	1	3	0	2	1	0	0	0	0	0	1	0	0
remote_work_2---leisure_1	4	1	5	1	2	0	1	0	0	1	0	0	0
remote_work_2---leisure_2	2	1	1	2	2	0	0	1	0	0	1	0	0
remote_work_2---remote_work_3	7	4	7	1	0	3	0	0	0	0	0	1	5
remote_work_2---shop_1	5	4	0	0	1	0	2	0	0	0	0	0	0
remote_work_2---shop_2	0	1	0	0	0	0	0	0	0	0	0	0	0
remote_work_2---shop_3	0	1	1	0	0	0	0	0	0	0	0	0	0
remote_work_2---work_1	0	1	1	0	0	0	1	0	0	2	0	0	0
remote_work_2---work_2	4	8	12	2	0	3	5	1	2	0	0	1	2
remote_work_2---work_3	4	4	3	2	2	1	3	0	1	1	1	0	2
remote_work_2---work_4	3	3	1	0	0	0	0	1	0	0	0	0	0
remote_work_2---work_5	0	0	0	0	0	0	1	0	0	0	0	0	0
remote_work_3---home_1	5	2	1	2	1	1	1	1	1	0	0	0	3
remote_work_3---home_2	2	1	0	0	1	0	0	0	0	0	0	0	0
remote_work_3---home_3	1	0	0	0	0	0	0	0	0	0	0	0	1
remote_work_3---leisure_1	0	0	0	1	0	0	0	0	0	0	0	0	0
